adocbip[c],agdpcbi[c]
h2o[c],k[c]
na1[c],na1[p]
tpalm2eACP[c],tddec2eACP[c]
tmrs2eACP[c],tpalm2eACP[c]
cit[c],icit[c]
o2[c],nad[c]
nicrnt[c],5prdmbz[c]
5caiz[c],5aizc[c]
2cpr5p[c],pran[c]
5mdr1p[c],5mdru1p[c]
udpgal[c],udpg[c]
gam6p[c],gam1p[c]
g6p[c],f6p[c]
mg2[e],mg2[p]
glu1sa[c],5aop[c]
glu__D[c],glu__L[c]
chor[c],ichor[c]
dcaACP[c],hexACP[c]
hexACP[c],malcoame[c]
23dhmp[c],23dhmb[c]
g1p[c],g6p[c]
man6p[c],man1p[c]
prbamp[c],prbatp[c]
prfp[c],prlp[c]
ca2[c],ca2[p]
nh4[c],nh4[p]
26dap__M[c],26dap_LL[c]
xu5p__D[c],ru5p__D[c]
dmpp[c],ipdp[c]
2pg[c],3pg[c]
pphn[c],chor[c]
dhap[c],g3p[c]
ala__L[c],ala__D[c]
ru5p__D[c],r5p[c]
hgmeACP[c],hpmeACP[c]
fmn[c],nadp[c]
ogmeACP[c],opmeACP[c]
photon530[e],photon550[e]
glcdg161[c],glcdg1819Z1619Z[c]
glcdg1619Z160[c],glcdg161[c]
lycop[c],ttclyco[c]
tczcaro[c],dczcaro[c]
LalaDglu[c],LalaLglu[c]
uacgam[c],uacmam[c]
h[c],h[p]
