amet[c],dann[c]
ala__L[c],8aonn[c]
atp[c],dtbt[c]
gmeACP[c],pmeACP[c]
egmeACP[c],epmeACP[c]
meoh[p],meoh[c]
3ocddec5eACP[c],ogmeACP[c]
ogmeACP[c],opmeACP[c]
hgmeACP[c],hpmeACP[c]
malcoa[c],malcoame[c]
cdec3eACP[c],gmeACP[c]
2ddecg3p[p],2tdecg3p[p]
2ddecg3p[c],2tdecg3p[c]
arbtn_fe3[p],cpgn[p]
feoxam_un[e],arbtn[e]
arbtn_fe3[e],arbtn[p]
lipa_cold[p],enlipa[p]
ditp[c],xtp[c]
23dhmb[c],23dhmp[c]
prbatp[c],prbamp[c]
kdo2lipid4L[c],kdo2lipid4p[c]
lipa[c],lipa_cold[c]
cbm[c],3c4mop[c]
1ddecg3p[p],1tdecg3p[p]
novbcn[p],rfamp[p]
pe120[p],pe140[p]
ps120[c],ps181[c]
