amet[c],dann[c]
ala__L[c],8aonn[c]
atp[c],dtbt[c]
egmeACP[c],epmeACP[c]
gmeACP[c],pmeACP[c]
2fe1s[c],iscs[c]
malcoa[c],malcoame[c]
epmeACP[c],hpmeACP[c]
ogmeACP[c],opmeACP[c]
cdec3eACP[c],gmeACP[c]
h2o[c],meoh[c]
2ddecg3p[p],2tdecg3p[p]
2ddecg3p[c],2tdecg3p[c]
pe120[c],pe140[c]
camp[c],35cgmp[c]
arbtn_fe3[p],fe3hox[p]
arbtn_fe3[e],arbtn[p]
fe3hox_un[e],arbtn[e]
arab__L[c],melib[c]
prbatp[c],prbamp[c]
lipa_cold[p],enlipa[p]
23dhmb[c],23dhmp[c]
kdo2lipid4L[c],kdo2lipid4p[c]
pydam[c],pydxn[c]
cbm[c],3c4mop[c]
kdolipid4[c],lipidA[c]
novbcn[p],rfamp[p]
pe120[p],pe140[p]
ditp[c],xtp[c]
ps160[c],ps161[c]
