"V1" "V2"
"" "pi[c]" "E186_atp[h]_complex"
"" "E321_acg5p[c]_h[c]_complex" "E377_1pyr5c[c]_h[c]_complex"
"" "E377_1pyr5c[c]_h[c]_complex" "E208_23dhdp[c]_h[c]_complex"
"" "E76_anxan[u]_h[u]_nadph[u]_complex" "E77_bcrptxan[u]_h[u]_nadph[u]_complex"
"" "E76_anxan[u]_h[u]_nadph[u]_complex" "E78_acaro[u]_h[u]_nadph[u]_complex"
"" "E76_anxan[u]_h[u]_nadph[u]_complex" "E77_acaro[u]_h[u]_nadph[u]_complex"
"" "E76_anxan[u]_h[u]_nadph[u]_complex" "E77_crpxan[u]_h[u]_nadph[u]_complex"
"" "E4_atp[c]_cit[c]_complex" "E89_atp[c]_cit[c]_complex"
"" "E5_accoa[c]_h2o[c]_complex" "E90_accoa[c]_h2o[c]_complex"
"" "E5_accoa[c]_h2o[c]_complex" "E189_atp[c]_h[c]_complex"
"" "E5_accoa[m]_h2o[m]_complex" "E90_accoa[m]_h2o[m]_complex"
"" "E90_accoa[m]_h2o[m]_complex" "E189_atp[m]_h[m]_complex"
"" "E101_h2s[h]_nh4[h]_complex" "E338_g3p[h]_h[h]_complex"
"" "hdeACP[h]" "myrsACP[h]"
"" "myrsACP[h]" "ocdACP[h]"
"" "myrsACP[h]" "octe9ACP[h]"
"" "myrsACP[h]" "octeACP[h]"
"" "myrsACP[h]" "E161_2pglyc[h]_complex"
"" "myrsACP[h]" "E169_13dpg[h]_complex"
"" "myrsACP[h]" "E23_fdp[h]_complex"
"" "myrsACP[h]" "E172_fdp[h]_complex"
"" "myrsACP[h]" "E233_6pgl[h]_complex"
"" "myrsACP[h]" "E322_3mob[h]_accoa[h]_complex"
"" "myrsACP[h]" "E58_adpglc[h]_complex"
"" "hdeACP[h]" "ocdACP[h]"
"" "hdeACP[h]" "octe9ACP[h]"
"" "hdeACP[h]" "octeACP[h]"
"" "hdeACP[h]" "E161_2pglyc[h]_complex"
"" "hdeACP[h]" "E169_13dpg[h]_complex"
"" "hdeACP[h]" "E23_fdp[h]_complex"
"" "hdeACP[h]" "E172_fdp[h]_complex"
"" "hdeACP[h]" "E233_6pgl[h]_complex"
"" "hdeACP[h]" "E322_3mob[h]_accoa[h]_complex"
"" "hdeACP[h]" "E58_adpglc[h]_complex"
"" "ocdACP[h]" "octe9ACP[h]"
"" "ocdACP[h]" "octeACP[h]"
"" "ocdACP[h]" "E161_2pglyc[h]_complex"
"" "ocdACP[h]" "E169_13dpg[h]_complex"
"" "ocdACP[h]" "E23_fdp[h]_complex"
"" "ocdACP[h]" "E172_fdp[h]_complex"
