"V1" "V2"
"" "E18_C00001[c]_complex" "E39_C00001[c]_complex"
"" "E18_C00001[c]_complex" "E71_C00001[c]_complex"
"" "E18_C00001[c]_complex" "E110_C00001[c]_complex"
"" "E18_C00001[c]_complex" "E112_C00001[c]_complex"
"" "E18_C00001[c]_complex" "E197_C00001[c]_complex"
"" "E18_C00001[c]_complex" "E198_C00001[c]_complex"
"" "E18_C00001[c]_complex" "E215_C00001[c]_complex"
"" "E18_C00001[c]_complex" "E241_C00001[c]_complex"
"" "E39_C00001[c]_complex" "E71_C00001[c]_complex"
"" "E39_C00001[c]_complex" "E110_C00001[c]_complex"
"" "E39_C00001[c]_complex" "E112_C00001[c]_complex"
"" "E39_C00001[c]_complex" "E197_C00001[c]_complex"
"" "E39_C00001[c]_complex" "E198_C00001[c]_complex"
"" "E39_C00001[c]_complex" "E215_C00001[c]_complex"
"" "E39_C00001[c]_complex" "E241_C00001[c]_complex"
"" "E71_C00001[c]_complex" "E110_C00001[c]_complex"
"" "E71_C00001[c]_complex" "E112_C00001[c]_complex"
"" "E71_C00001[c]_complex" "E197_C00001[c]_complex"
"" "E71_C00001[c]_complex" "E198_C00001[c]_complex"
"" "E71_C00001[c]_complex" "E215_C00001[c]_complex"
"" "E71_C00001[c]_complex" "E241_C00001[c]_complex"
"" "E110_C00001[c]_complex" "E112_C00001[c]_complex"
"" "E110_C00001[c]_complex" "E197_C00001[c]_complex"
"" "E110_C00001[c]_complex" "E198_C00001[c]_complex"
"" "E110_C00001[c]_complex" "E215_C00001[c]_complex"
"" "E110_C00001[c]_complex" "E241_C00001[c]_complex"
"" "E112_C00001[c]_complex" "E197_C00001[c]_complex"
"" "E112_C00001[c]_complex" "E198_C00001[c]_complex"
"" "E112_C00001[c]_complex" "E215_C00001[c]_complex"
"" "E112_C00001[c]_complex" "E241_C00001[c]_complex"
"" "E197_C00001[c]_complex" "E198_C00001[c]_complex"
"" "E197_C00001[c]_complex" "E215_C00001[c]_complex"
"" "E197_C00001[c]_complex" "E241_C00001[c]_complex"
"" "E198_C00001[c]_complex" "E215_C00001[c]_complex"
"" "E198_C00001[c]_complex" "E241_C00001[c]_complex"
"" "E215_C00001[c]_complex" "E241_C00001[c]_complex"
"" "Pelargonidin 3-O-(6-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside" "E184_C00008[c]_C00080[c]_complex"
"" "E59_C00009[c]_C00080[c]_complex" "E89_C00009[c]_C00080[c]_complex"
"" "(x(577)" "x(976))"
"" "E29_C00010[c]_complex" "E120_C00010[c]_complex"
"" "E176_C00088[c]_complex" "E327_C00094[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E49_C00008[c]_C00080[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E151_C00008[c]_C00080[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E159_C00008[c]_C00080[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E181_C00008[c]_C00080[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E267_C00008[c]_C00080[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E276_C00008[c]_C00080[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E296_C00008[c]_C00080[c]_complex"
"" "E47_C00008[c]_C00080[c]_complex" "E321_C00008[c]_C00080[c]_complex"
"" "E49_C00008[c]_C00080[c]_complex" "E151_C00008[c]_C00080[c]_complex"
"" "E49_C00008[c]_C00080[c]_complex" "E159_C00008[c]_C00080[c]_complex"
"" "E49_C00008[c]_C00080[c]_complex" "E181_C00008[c]_C00080[c]_complex"
"" "E49_C00008[c]_C00080[c]_complex" "E267_C00008[c]_C00080[c]_complex"
"" "E49_C00008[c]_C00080[c]_complex" "E276_C00008[c]_C00080[c]_complex"
"" "E49_C00008[c]_C00080[c]_complex" "E296_C00008[c]_C00080[c]_complex"
"" "E49_C00008[c]_C00080[c]_complex" "E321_C00008[c]_C00080[c]_complex"
"" "E151_C00008[c]_C00080[c]_complex" "E159_C00008[c]_C00080[c]_complex"
"" "E151_C00008[c]_C00080[c]_complex" "E181_C00008[c]_C00080[c]_complex"
"" "E151_C00008[c]_C00080[c]_complex" "E267_C00008[c]_C00080[c]_complex"
"" "E151_C00008[c]_C00080[c]_complex" "E276_C00008[c]_C00080[c]_complex"
"" "E151_C00008[c]_C00080[c]_complex" "E296_C00008[c]_C00080[c]_complex"
"" "E151_C00008[c]_C00080[c]_complex" "E321_C00008[c]_C00080[c]_complex"
"" "E159_C00008[c]_C00080[c]_complex" "E181_C00008[c]_C00080[c]_complex"
"" "E159_C00008[c]_C00080[c]_complex" "E267_C00008[c]_C00080[c]_complex"
