"V1" "V2"
"" "N-Acetyl-D-glucosamine" "N-Acetyl-D-mannosamine"
"" "(x(120)" "E245_gln__L[e]_complex"
"" "x(121))" "E245_gln__L[e]_complex"
"" "x(299)" "E58_atp[c]_glu__L[c]_complex"
"" "L-Cysteine" "L-Cysteine"
"" "x(15)" "E122_gmp[c]_complex"
"" "D-Glucose 6-phosphate" "Nicotinamide adenine dinucleotide phosphate - reduced"
"" "x(116)" "x(21)"
"" "x(166)" "x(21)"
"" "x(21)" "x(221)"
"" "x(131)" "E122_pi[c]_complex"
"" "(x(36)" "x(30))"
"" "x(30))" "x(37))"
"" "Calcium" "Calcium"
"" "Urea CH4N2O" "Urea CH4N2O"
"" "Dopamine" "Dopamine"
"" "(x(321)" "x(320)"
"" "D-Fructose" "D-Fructose"
"" "(x(345)" "x(341)"
"" "(x(345)" "x(342))"
"" "(x(345)" "x(343)"
"" "(x(345)" "x(344)"
"" "x(341)" "x(342))"
"" "x(341)" "x(343)"
"" "x(341)" "x(344)"
"" "x(342))" "x(343)"
"" "x(342))" "x(344)"
"" "x(343)" "x(344)"
"" "Norepinephrine" "Norepinephrine"
"" "(x(320)" "x(321)"
"" "D-Glucosamine" "D-Glucosamine"
"" "(x(37)" "x(316))"
"" "D-Glucose" "D-Glucose"
"" "(x(36)" "x(37))"
"" "D-Fructose 6-phosphate" "D-Mannose 6-phosphate"
"" "x(104)" "x(166)"
"" "L-Methionine" "L-Methionine"
"" "(x(108)" "x(299))"
"" "D-Glucose 6-phosphate" "1D-myo-Inositol 1-phosphate"
"" "x(116)" "x(166)"
"" "x(116)" "x(221)"
"" "D-Glucose 6-phosphate" "D-Fructose 6-phosphate"
"" "x(166)" "x(221)"
"" "Sodium" "Sodium"
"" "(x(120)" "x(121))"
"" "D-Glycerate 2-phosphate" "3-Phospho-D-glycerate"
"" "(x(322)" "x(323))"
"" "Alpha-D-Ribose 1-phosphate" "Alpha-D-Ribose 5-phosphate"
"" "x(198)" "x(4)"
"" "D-Ribulose 5-phosphate" "D-Xylulose 5-phosphate"
"" "(x(2)" "x(3))"
"" "(x(2)" "x(4)"
"" "x(3))" "x(4)"
"" "Alpha-D-Ribose 5-phosphate" "D-Ribulose 5-phosphate"
"" "D-Glucose 1-phosphate" "D-Glucose 6-phosphate"
"" "Glyceraldehyde 3-phosphate" "Dihydroxyacetone phosphate"
"" "UDPglucose" "UDPgalactose"
"" "(x(19)" "x(18))"
