"V1" "V2"
"" "acgam[c]" "acmana[c]"
"" "cys__L[c]" "cys__L[e]"
"" "ca2[c]" "ca2[e]"
"" "urea[c]" "urea[e]"
"" "dopa[c]" "dopa[e]"
"" "E_46" "E_302"
"" "fru[c]" "fru[e]"
"" "E_55" "E_323"
"" "E_55" "E_324"
"" "E_55" "E_325"
"" "E_55" "E_326"
"" "E_323" "E_324"
"" "E_323" "E_325"
"" "E_323" "E_326"
"" "E_324" "E_325"
"" "E_324" "E_326"
"" "E_325" "E_326"
"" "nrpphr[c]" "nrpphr[e]"
"" "E_45" "E_303"
"" "gam[c]" "gam[e]"
"" "E_57" "E_296"
"" "glc__D[c]" "glc__D[e]"
"" "E_56" "E_330"
"" "f6p[c]" "man6p[c]"
"" "E_94" "E_157"
"" "E_85" "E_87"
"" "5mdr1p[c]" "5mdru1p[c]"
"" "met__L[c]" "met__L[e]"
"" "E_1" "E_277"
"" "g6p[c]" "mi1p__D[c]"
"" "E_104" "E_157"
"" "E_104" "E_203"
"" "g6p[c]" "f6p[c]"
"" "E_157" "E_203"
"" "na1[c]" "na1[e]"
"" "E_5" "E_109"
"" "2pg[c]" "3pg[c]"
"" "E_47" "E_305"
"" "r1p[c]" "r5p[c]"
"" "E_183" "E_333"
"" "ru5p__D[c]" "xu5p__D[c]"
"" "E_19" "E_278"
"" "E_19" "E_333"
"" "E_278" "E_333"
"" "r5p[c]" "ru5p__D[c]"
"" "g1p[c]" "g6p[c]"
"" "g3p[c]" "dhap[c]"
"" "udpg[c]" "udpgal[c]"
"" "E_16" "E_170"
