"V1" "V2"
"" "E688_2agpg161[c]_atp[c]_complex" "E688_2agpe161[c]_atp[c]_complex"
"" "E688_2agpg180[c]_atp[c]_complex" "E688_2agpe180[c]_atp[c]_complex"
"" "E688_2agpg181[c]_atp[c]_complex" "E688_2agpe181[c]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E718_2mahmp[c]_complex"
"" "E208_2mahmp[c]_complex" "E659_acgam6p[c]_complex"
"" "E208_2mahmp[c]_complex" "E664_anhgm3p[c]_complex"
"" "E208_2mahmp[c]_complex" "E674_anhgm3p[c]_complex"
"" "x(920)" "E208_2mahmp[c]_complex"
"" "E208_2mahmp[c]_complex" "E664_anhgm4p[c]_complex"
"" "E208_2mahmp[c]_complex" "E908_anhgm4p[c]_complex"
"" "E208_2mahmp[c]_complex" "E650_cdpdhdec9eg[c]_complex"
"" "E208_2mahmp[c]_complex" "E674_anhgm4p[c]_complex"
"" "E208_2mahmp[c]_complex" "E238_LalaDgluMdap[p]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E674_anhgm[c]_complex"
"" "E208_2mahmp[c]_complex" "E681_agm[c]_complex"
"" "E208_2mahmp[c]_complex" "E908_LalaDgluMdapDala[c]_complex"
"" "E208_2mahmp[c]_complex" "E269_LalaDgluMdapDala[p]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E993_dad_5[c]_complex"
"" "E208_2mahmp[c]_complex" "E993_ahcys[c]_complex"
"" "E208_2mahmp[c]_complex" "E707_alaala[c]_complex"
"" "E208_2mahmp[c]_complex" "E25_alaala[p]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E198_alaala[p]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E473_anhm[c]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E220_ala__L[p]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E351_acmum6p[c]_complex"
"" "E208_2mahmp[c]_complex" "E98_arbtn_fe3[p]_atp[c]_complex"
"" "E208_2mahmp[c]_complex" "E557_alltn[c]_complex"
