"V1" "V2"
"" "E38_f420_7[c]_gdp[c]_pi[c]_complex" "E172_f420_7[c]_gdp[c]_pi[c]_complex"
"" "2ood[c]" "E38_f420_7[c]_gdp[c]_pi[c]_complex"
"" "sf430a[c]" "E38_f420_7[c]_gdp[c]_pi[c]_complex"
"" "2ood[c]" "E172_f420_7[c]_gdp[c]_pi[c]_complex"
"" "sf430a[c]" "E172_f420_7[c]_gdp[c]_pi[c]_complex"
"" "E174_cbp[c]_complex" "E180_atp[c]_complex"
"" "E174_cbp[c]_complex" "E33_atp[c]_citr__L[c]_complex"
"" "E174_cbp[c]_complex" "E161_atp[c]_citr__L[c]_complex"
"" "E174_cbp[c]_complex" "E36_h[c]_complex"
"" "E174_cbp[c]_complex" "E170_h[c]_complex"
"" "E180_atp[c]_complex" "E33_atp[c]_citr__L[c]_complex"
"" "E180_atp[c]_complex" "E161_atp[c]_citr__L[c]_complex"
"" "E180_atp[c]_complex" "E36_h[c]_complex"
"" "E180_atp[c]_complex" "E170_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E187_dggpg[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E189_dggpg[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E192_dggpg[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E43_dggpi[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E187_dggpi[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E189_dggpi[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E192_dggpi[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E43_dggpg[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E189_dggpg[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E192_dggpg[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E43_dggpi[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E187_dggpi[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E189_dggpi[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E192_dggpi[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E187_dggpg[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E38_glu__L[c]_gtp[c]_complex" "E172_glu__L[c]_gtp[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E192_dggpg[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E43_dggpi[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E187_dggpi[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E189_dggpi[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E192_dggpi[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E189_dggpg[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E_301" "E403_gtp[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E43_dggpi[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E187_dggpi[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E189_dggpi[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E192_dggpi[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E192_dggpg[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E99_h[c]_nadph[c]_complex" "E392_h[c]_nadph[c]_complex"
"" "E392_h[c]_nadph[c]_complex" "E393_h[c]_nadph[c]_complex"
"" "E43_dggpi[c]_h[c]_complex" "E187_dggpi[c]_h[c]_complex"
"" "E43_dggpi[c]_h[c]_complex" "E189_dggpi[c]_h[c]_complex"
"" "E43_dggpi[c]_h[c]_complex" "E192_dggpi[c]_h[c]_complex"
"" "E43_dggpi[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E43_dggpi[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E43_dggpi[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E43_dggpi[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E187_dggpi[c]_h[c]_complex" "E189_dggpi[c]_h[c]_complex"
"" "E187_dggpi[c]_h[c]_complex" "E192_dggpi[c]_h[c]_complex"
"" "E187_dggpi[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E187_dggpi[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E187_dggpi[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E187_dggpi[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E189_dggpi[c]_h[c]_complex" "E192_dggpi[c]_h[c]_complex"
"" "E189_dggpi[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E189_dggpi[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E189_dggpi[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E189_dggpi[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E192_dggpi[c]_h[c]_complex" "E43_dgggps[c]_h[c]_complex"
"" "E192_dggpi[c]_h[c]_complex" "E187_dgggps[c]_h[c]_complex"
"" "E192_dggpi[c]_h[c]_complex" "E189_dgggps[c]_h[c]_complex"
"" "E192_dggpi[c]_h[c]_complex" "E192_dgggps[c]_h[c]_complex"
"" "E118_atp[c]_complex" "E44_atp[c]_h[c]_complex"
"" "E118_atp[c]_complex" "E196_atp[c]_h[c]_complex"
"" "cdpg[c]" "E118_atp[c]_complex"
"" "dhp23cp[c]" "E118_atp[c]_complex"
"" "sec[c]" "E118_atp[c]_complex"
"" "E118_atp[c]_complex" "E311_atp[c]_complex"
"" "E118_atp[c]_complex" "E311_gtp[c]_complex"
"" "dhadrp[c]" "E118_atp[c]_complex"
"" "E118_atp[c]_complex" "E92_atp[c]_pi[e]_complex"
"" "E194_atp[c]_complex" "E219_4abz[c]_h[c]_complex"
"" "E194_atp[c]_complex" "E213_gln__L[c]_h2o[c]_complex"
"" "dhadr[c]" "E194_atp[c]_complex"
"" "E194_atp[c]_complex" "E117_h2o[c]_complex"
"" "E44_atp[c]_h[c]_complex" "E196_atp[c]_h[c]_complex"
"" "cdpg[c]" "E44_atp[c]_h[c]_complex"
"" "dhp23cp[c]" "E44_atp[c]_h[c]_complex"
"" "sec[c]" "E44_atp[c]_h[c]_complex"
"" "E44_atp[c]_h[c]_complex" "E311_atp[c]_complex"
"" "E44_atp[c]_h[c]_complex" "E311_gtp[c]_complex"
"" "dhadrp[c]" "E44_atp[c]_h[c]_complex"
