"V1" "V2"
"" "E1_accoa[h]_atp[h]_complex" "E180_accoa[h]_atp[h]_complex"
"" "E1_accoa[h]_atp[h]_complex" "E191_accoa[h]_atp[h]_complex"
"" "E1_accoa[h]_atp[h]_complex" "E282_accoa[h]_atp[h]_complex"
"" "E180_accoa[h]_atp[h]_complex" "E191_accoa[h]_atp[h]_complex"
"" "E180_accoa[h]_atp[h]_complex" "E282_accoa[h]_atp[h]_complex"
"" "E191_accoa[h]_atp[h]_complex" "E282_accoa[h]_atp[h]_complex"
"" "Acetyl-CoA" "Acetyl-CoA"
"" "x(121)" "E135_nh4[h]_complex"
"" "E334_dmpp[c]_complex" "E370_hepdp[c]_complex"
"" "E334_grdp[c]_complex" "E370_hepdp[c]_complex"
"" "E356_frdp[c]_complex" "E370_hepdp[c]_complex"
"" "E370_hepdp[c]_complex" "E370_hexdp[c]_complex"
"" "5.3.3.2" "E370_hepdp[c]_complex"
"" "N-Acetyl-D-glucosamine" "H+"
"" "2.7.1.59" "E128_amet[c]_complex"
"" "2.7.1.59" "E218_atp[c]_nicrnt[c]_complex"
"" "2.7.1.59" "E292_4ppcys[c]_complex"
"" "2.7.1.59" "E253_ctp[c]_pa_pf_18_0_20_4[c]_complex"
"" "2.7.1.59" "E253_ctp[c]_pa_pf_18_1_20_4[c]_complex"
"" "2.7.1.59" "E253_ctp[c]_pa_pf_20_4_20_4[c]_complex"
"" "2.7.1.59" "E259_cholp[c]_ctp[c]_complex"
"" "2.7.1.59" "E354_atp[c]_fmn[c]_complex"
"" "2.7.1.59" "E369_gdpddman[c]_nadph[c]_complex"
"" "2.7.1.59" "E332_akg[c]_gln__L[c]_nadh[c]_complex"
"" "2.7.1.59" "E332_akg[c]_gln__L[c]_nadph[c]_complex"
"" "2.7.1.59" "E251_pail45p_pf_18_0_18_1[c]_complex"
"" "2.7.1.59" "E170_gtp[c]_man1p[c]_complex"
"" "2.7.1.59" "E240_ctp[c]_ethamp[c]_complex"
"" "2.7.1.59" "E387_3dsphgn[c]_nadph[c]_complex"
"" "x(323)" "E301_o2[c]_complex"
"" "E335_h2mb4p[h]_h[h]_complex" "E197_3opalmACP[h]_h[h]_complex"
"" "E341_dxyl5p[h]_h[h]_complex" "E197_3opalmACP[h]_h[h]_complex"
"" "E184_2mecdp[h]_complex" "E197_3opalmACP[h]_h[h]_complex"
"" "E342_g3p[h]_pyr[h]_complex" "E231_ddcaACP[h]_complex"
"" "E189_2me4p[h]_ctp[h]_complex" "E231_ddcaACP[h]_complex"
"" "N-Acetyl-D-glucosamine 1-phosphate" "N-Acetyl-D-glucosamine 6-phosphate"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E380_acgpail_pf_18_0_18_1[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E390_fmn[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E397_13dpg[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E399_adn[c]_h[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E142_ahcys[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E182_amp[c]_h[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E399_dad_2[c]_h[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E309_dctp[c]_h[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E340_dutp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E211_tag_pf_18_0_18_1_16_0[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E226_g3pc[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E226_g3pe[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E333_atp[c]_gthox[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E333_atp[c]_gthrd[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E376_gtp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E192_atp[c]_met__L[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E30_mi3p__D[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E194_mi3p__D[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E399_5mta[c]_h[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E155_adp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E33_gdp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E209_gdp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E33_dgdp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E209_dgdp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E155_amp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E155_atp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E155_ctp[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E288_pa_pf_16_0_18_2[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E288_pa_pf_18_1_18_2[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E288_pa_pf_18_2_18_2[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E311_ahdt[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E195_mi145p[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E57_pchol_pf_16_0_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E270_pchol_pf_16_0_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E272_pchol_pf_16_0_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E57_pe_pf_20_4_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E270_pe_pf_20_4_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E272_pe_pf_20_4_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E288_pa_pf_16_0_20_4[c]_complex"
"" "E79_acgpail_pf_18_0_18_1[c]_complex" "E288_pa_pf_20_4_20_4[c]_complex"
