"V1" "V2"
"" "Fe2+ mitochondria" "Fe2+ mitochondria"
"" "D-Glucose" "D-Fructose"
"" "D-Mannose" "D-Fructose"
"" "D-Glucose" "D-Mannose"
"" "E314_asp__L[c]_complex" "E322_h[c]_pi[c]_complex"
"" "E117_atp[c]_complex" "E66_atp[c]_complex"
"" "E117_atp[c]_complex" "E71_atp[c]_ca2[c]_complex"
"" "E117_atp[c]_complex" "E320_atp[c]_ca2[c]_complex"
"" "E117_atp[c]_complex" "E259_fdp[c]_complex"
"" "E117_atp[c]_complex" "E386_g6p[c]_complex"
"" "E117_atp[c]_complex" "E29_plrxox[c]_complex"
"" "(x(19)&x(21)&x(13)&x(76))" "E117_atp[c]_complex"
"" "E117_atp[c]_complex" "E230_atp[c]_met__L[c]_complex"
"" "E117_atp[c]_complex" "E46_camp[c]_complex"
"" "E117_atp[c]_complex" "E255_camp[c]_complex"
"" "E117_atp[c]_complex" "E257_camp[c]_complex"
"" "E117_atp[c]_complex" "E46_35cgmp[c]_complex"
"" "E117_atp[c]_complex" "E255_35cgmp[c]_complex"
"" "E117_atp[c]_complex" "E256_35cgmp[c]_complex"
"" "E117_atp[c]_complex" "E258_35cgmp[c]_complex"
"" "E117_atp[c]_complex" "E384_6pgl[c]_complex"
"" "E117_atp[c]_complex" "E44_methf[c]_complex"
"" "E117_atp[c]_complex" "E244_methf[c]_complex"
"" "E117_atp[c]_complex" "E398_methf[c]_complex"
"" "E117_atp[c]_complex" "E54_pchol_pf_16_0_20_4[c]_complex"
"" "E117_atp[c]_complex" "E280_pchol_pf_16_0_20_4[c]_complex"
"" "E117_atp[c]_complex" "E281_pchol_pf_16_0_20_4[c]_complex"
"" "E117_atp[c]_complex" "E54_pe_pf_20_4_20_4[c]_complex"
"" "E117_atp[c]_complex" "E280_pe_pf_20_4_20_4[c]_complex"
"" "E117_atp[c]_complex" "E281_pe_pf_20_4_20_4[c]_complex"
"" "E117_atp[c]_complex" "E60_pa_pf_16_0_20_4[c]_complex"
"" "E117_atp[c]_complex" "E289_pa_pf_16_0_20_4[c]_complex"
"" "E117_atp[c]_complex" "E60_pa_pf_20_4_20_4[c]_complex"
"" "E117_atp[c]_complex" "E289_pa_pf_20_4_20_4[c]_complex"
"" "Phosphatidyl glycerophsophate(plasmodium)" "E117_atp[c]_complex"
"" "E117_atp[c]_complex" "E93_acgpail_pf_18_0_18_1[c]_complex"
"" "E117_atp[c]_complex" "E408_acgpail_pf_18_0_18_1[c]_complex"
"" "E117_atp[c]_complex" "E98_fmn[c]_complex"
"" "E117_atp[c]_complex" "E417_fmn[c]_complex"
"" "E117_atp[c]_complex" "E427_13dpg[c]_complex"
"" "E117_atp[c]_complex" "E428_adn[c]_h[c]_complex"
"" "E117_atp[c]_complex" "E183_ahcys[c]_complex"
