"V1" "V2"
"" "E92_atp[m]_complex" "E428_atp[m]_complex"
"" "D-Fructose" "D-Mannose"
"" "D-Glucose" "D-Mannose"
"" "Fe2+ mitochondria" "Fe2+ mitochondria"
"" "D-Fructose" "D-Glucose"
"" "E344_3dsphgn[c]_h[c]_complex" "E271_akg[c]_h[c]_lys__L[c]_complex"
"" "(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxydecanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydecanoyl-[acyl-carrier protein]" "R-3-hydroxypalmitoyl-[acyl-carrier protein]"
"" "(3R)-3-Hydroxyacyl-[acyl-carrier protein]" "(R)-3-Hydroxydecanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Dec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dec-2-enoyl-[acyl-carrier protein]" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dec-2-enoyl-[acyl-carrier protein]" "Trans-Hexadec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dec-2-enoyl-[acyl-carrier protein]" "But-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dec-2-enoyl-[acyl-carrier protein]" "Trans-Hex-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dec-2-enoyl-[acyl-carrier protein]" "Trans-Oct-2-enoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]" "R-3-hydroxypalmitoyl-[acyl-carrier protein]"
"" "(3R)-3-Hydroxyacyl-[acyl-carrier protein]" "(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Hexadec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "But-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Hex-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Oct-2-enoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]" "R-3-hydroxypalmitoyl-[acyl-carrier protein]"
"" "(3R)-3-Hydroxyacyl-[acyl-carrier protein]" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]" "(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"
"" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]" "Trans-Hexadec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]" "But-2-enoyl-[acyl-carrier protein]"
"" "Trans-Hex-2-enoyl-[acyl-carrier protein]" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]" "Trans-Oct-2-enoyl-[acyl-carrier protein]"
"" "(3R)-3-Hydroxyacyl-[acyl-carrier protein]" "R-3-hydroxypalmitoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]" "R-3-hydroxypalmitoyl-[acyl-carrier protein]"
"" "(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]" "R-3-hydroxypalmitoyl-[acyl-carrier protein]"
