"V1" "V2"
"" "H2O H2O" "Hydroxymethylbilane"
"" "x(2)" "x(211)"
"" "Fe2+ mitochondria" "Fe2+ mitochondria"
"" "D-Fructose" "D-Glucose"
"" "D-Mannose" "D-Fructose"
"" "D-Mannose" "D-Glucose"
"" "Dolichol(11subunits)phosphate" "Dolichol(12subunits)phosphate"
"" "E259_dxyl5p[h]_h[h]_complex" "E308_2mecdp[h]_complex"
"" "E259_dxyl5p[h]_h[h]_complex" "E253_h2mb4p[h]_h[h]_complex"
"" "E260_g3p[h]_h[h]_complex" "E70_coa[h]_nad[h]_complex"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Dec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dec-2-enoyl-[acyl-carrier protein]" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dec-2-enoyl-[acyl-carrier protein]" "Trans-Hex-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]"
"" "Trans-Dodec-2-enoyl-[acyl-carrier protein]" "Trans-Hex-2-enoyl-[acyl-carrier protein]"
"" "Trans-Hex-2-enoyl-[acyl-carrier protein]" "Trans-Tetradec-2-enoyl-[acyl-carrier protein]"
"" "E261_h[h]_tpalm2eACP[h]_complex" "E261_but2eACP[h]_h[h]_complex"
"" "E261_h[h]_tpalm2eACP[h]_complex" "E261_h[h]_toct2eACP[h]_complex"
"" "E261_but2eACP[h]_h[h]_complex" "E261_h[h]_toct2eACP[h]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E264_arachd[c]_coa[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E266_arachd[c]_coa[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E267_arachd[c]_coa[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E268_arachd[c]_coa[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E195_4ampm[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_16_0_16_0[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_16_0_16_0[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_16_0_18_0[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_16_0_18_0[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_16_0_18_1[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_16_0_18_1[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_16_0_18_2[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_16_0_18_2[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_18_0_18_0[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_18_0_18_0[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_18_0_18_1[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_18_0_18_1[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_18_1_18_1[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_18_1_18_1[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E35_dag_pf_16_0_20_4[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E207_dag_pf_16_0_20_4[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E193_fru[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E195_4ahmmp[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E251_2ahhmp[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E251_6hmhpt[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E20_mi1456p[c]_complex"
"" "E54_arachd[c]_coa[c]_complex" "E155_mi1456p[c]_complex"
