"V1" "V2"
"" "E_119" "E_126"
"" "2dr5p[c]" "2dr1p[c]"
"" "man6p[c]" "f6p[c]"
"" "dtdp4d6dg[c]" "dtdp4d6dm[c]"
"" "g3p[c]" "dhap[c]"
"" "3pg[c]" "2pg[c]"
"" "uacgam[c]" "uacgala[c]"
"" "cit[c]" "icit[c]"
"" "E_10" "E_148"
"" "E_10" "E_149"
"" "E_148" "E_149"
"" "xu5p__D[c]" "ru5p__D[c]"
"" "E_160" "E_161"
"" "E_160" "E_450"
"" "ru5p__D[c]" "r5p[c]"
"" "E_161" "E_450"
"" "udpg[c]" "udpgal[c]"
"" "E_24" "E_181"
"" "gam6p[c]" "gam1p[c]"
"" "asp__L[c]" "asp__D[c]"
"" "pran[c]" "2cpr5p[c]"
"" "chor[c]" "pphn[c]"
"" "E_65" "E_354"
"" "E_65" "E_371"
"" "E_354" "E_371"
"" "glu__L[c]" "glu__D[c]"
"" "E_78" "E_407"
"" "ala__D[c]" "ala__L[c]"
"" "E_79" "E_411"
"" "ru5p__D[c]" "ara5p[c]"
"" "chor[c]" "ichor[c]"
"" "pi[c]" "pi[e]"
"" "nh4[c]" "nh4[e]"
"" "E_84" "E_420"
"" "26dap_LL[c]" "26dap__M[c]"
"" "lac__L[c]" "lac__L[e]"
"" "glc__D[c]" "glc__bD[c]"
"" "prfp[c]" "prlp[c]"
