"V1" "V2"
"" "E15_atp[c]_na1[e]_complex" "E128_atp[c]_na1[e]_complex"
"" "E15_atp[c]_na1[e]_complex" "E132_atp[c]_na1[e]_complex"
"" "E15_atp[c]_na1[e]_complex" "E146_atp[c]_na1[e]_complex"
"" "E15_atp[c]_na1[e]_complex" "E8_nadp[c]_sucsal[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E102_nadp[c]_sucsal[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E5_asn__L[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E89_asn__L[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E95_asn__L[c]_complex"
"" "E_210" "E15_atp[c]_na1[e]_complex"
"" "E15_atp[c]_na1[e]_complex" "E134_alaala[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E137_gam6p[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E22_acgam6p[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E143_acgam6p[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E155_acorn[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E3_cys__L[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E278_cys__L[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E280_cys__L[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E281_cys__L[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E90_dap24[c]_nadp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E114_fdp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E69_g1p[c]_complex"
"" "dgo15lac[c]" "E15_atp[c]_na1[e]_complex"
"" "E15_atp[c]_na1[e]_complex" "E74_10fthf[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E138_hacp[c]_complex"
"" "i4mzo[c]" "E15_atp[c]_na1[e]_complex"
"" "E15_atp[c]_na1[e]_complex" "E41_ppgpp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E215_ppgpp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E47_gmp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E234_gmp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E42_pppgpp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E215_pppgpp[c]_complex"
"" "p1p3b5adtp[c]" "E15_atp[c]_na1[e]_complex"
"" "E15_atp[c]_na1[e]_complex" "E77_atp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E216_pppgpp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E230_adn[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E70_nadp[c]_complex"
"" "E15_atp[c]_na1[e]_complex" "E71_dtmp[c]_complex"
