"V1" "V2"
"" "H+" "Biotin"
"" "x(195)" "E393_2mahmp[c]_4mpetz[c]_complex"
"" "x(195)" "E414_butACP[c]_malACP[c]_complex"
"" "x(195)" "E414_malACP[c]_ocACP[c]_complex"
"" "x(195)" "E414_dcaACP[c]_malACP[c]_complex"
"" "x(195)" "E414_cdec3eACP[c]_malACP[c]_complex"
"" "x(195)" "E414_ddcaACP[c]_malACP[c]_complex"
"" "x(195)" "E105_3ocddec5eACP[c]_nadph[c]_complex"
"" "x(195)" "E353_3ocddec5eACP[c]_nadph[c]_complex"
"" "x(195)" "E105_3ocmrs7eACP[c]_nadph[c]_complex"
"" "x(195)" "E353_3ocmrs7eACP[c]_nadph[c]_complex"
"" "x(195)" "E86_3ocpalm9eACP[c]_nadph[c]_complex"
"" "x(195)" "E389_3ocpalm9eACP[c]_nadph[c]_complex"
"" "x(195)" "E86_3ocvac11eACP[c]_nadph[c]_complex"
"" "x(195)" "E389_3ocvac11eACP[c]_nadph[c]_complex"
"" "x(195)" "E414_cddec5eACP[c]_malACP[c]_complex"
"" "x(195)" "E414_malACP[c]_myrsACP[c]_complex"
"" "x(195)" "E304_adocbip[c]_gtp[c]_complex"
"" "x(195)" "E417_alac__S[c]_complex"
"" "x(195)" "E138_asp__L[c]_complex"
"" "x(195)" "E191_atp[c]_co1dam[c]_complex"
"" "x(195)" "E178_asp__L[c]_complex"
"" "x(195)" "E281_26dap__M[c]_complex"
"" "x(195)" "E241_copre6[c]_nadph[c]_complex"
"" "x(195)" "E129_ctp[c]_glyc3p[c]_complex"
"" "x(195)" "E286_ctp[c]_pa140[c]_complex"
"" "x(195)" "E351_dxyl5p[c]_nadph[c]_complex"
"" "x(195)" "E286_ctp[c]_pa160[c]_complex"
"" "x(195)" "E286_ctp[c]_pa161[c]_complex"
"" "x(195)" "E286_ctp[c]_pa181[c]_complex"
"" "x(195)" "E374_atp[c]_fmn[c]_complex"
"" "x(195)" "E75_23dhdp[c]_nadph[c]_complex"
"" "x(195)" "E306_23dhdp[c]_nadph[c]_complex"
"" "x(195)" "E249_glu5p[c]_nadph[c]_complex"
"" "x(195)" "E147_glutrna[c]_nadph[c]_complex"
"" "x(195)" "E18_akg[c]_gln__L[c]_nadph[c]_complex"
"" "x(195)" "E422_accoa[c]_malACP[c]_complex"
"" "x(195)" "E245_2cpr5p[c]_complex"
"" "x(195)" "E345_2dhp[c]_nadph[c]_complex"
"" "x(195)" "E122_3c4mop[c]_complex"
"" "x(195)" "E19_orn[c]_complex"
"" "x(195)" "E149_orn[c]_complex"
"" "x(195)" "E316_2me4p[c]_ctp[c]_complex"
"" "x(195)" "E187_nac[c]_prpp[c]_complex"
"" "x(195)" "E209_atp[c]_nicrnt[c]_complex"
"" "x(195)" "E329_ps160[c]_complex"
"" "x(195)" "E329_ps161[c]_complex"
"" "x(195)" "E329_ps140[c]_complex"
"" "x(195)" "E233_orot5p[c]_complex"
"" "x(195)" "E343_atp[c]_pan4p[c]_complex"
"" "x(195)" "E108_2mahmp[c]_4mpetz[c]_complex"
"" "x(195)" "E414_acACP[c]_malACP[c]_complex"
"" "x(195)" "E295_4ppcys[c]_complex"
"" "x(195)" "E354_but2eACP[c]_nadh[c]_complex"
"" "((x(253)" "x(267)"
"" "x(241)))" "x(267)"
"" "x(245)" "x(267)"
"" "x(247))&(x(255)" "x(267)"
"" "x(259)" "x(267)"
"" "x(261))&(x(263)" "x(267)"
"" "Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]" "Trans-Dodec-2-enoyl-[acyl-carrier protein]"
