"V1" "V2"
"" "E67_f6p[x]_complex" "E72_b_D_glucose[x]_complex"
"" "E_58" "E54_nadp[m]_complex"
"" "icit[m]" "cit[m]"
"" "ala__L[c]" "ala__D[c]"
"" "E_20" "E_106"
"" "E19_atp[c]_complex" "E101_atp[c]_complex"
"" "triglyc_LM[c]" "E115_6pgl[c]_complex"
"" "g6p_B[c]" "mi1p__D[c]"
"" "E_48" "E113_nadp[c]_complex"
"" "E_48" "E16_h2o[c]_complex"
"" "E_48" "E84_h2o[c]_complex"
"" "b_D_glucose[x]" "a_D_glucose[x]"
"" "E52_h2o[c]_complex" "E59_a_D_glucose[c]_complex"
"" "E105_h[m]_q6[m]_complex" "E107_h[m]_q6[m]_complex"
"" "E23_glu5sa[m]_nadp[m]_complex" "E86_ppi[m]_complex"
"" "E14_h[m]_nadh[m]_complex" "E76_h[m]_nadh[m]_complex"
"" "E7_adhlam[m]_coa[m]_complex" "E35_adhlam[m]_coa[m]_complex"
"" "E33_mal__L[m]_complex" "E45_pro__L[m]_complex"
"" "E33_mal__L[m]_complex" "E23_1pyr5c[m]_h2o[m]_complex"
"" "gua[e]" "ura[e]"
"" "E16_h2o[c]_complex" "E84_h2o[c]_complex"
"" "dhap[x]" "g3p[x]"
"" "E1_focytc[m]_o2[m]_complex" "E87_focytc[m]_o2[m]_complex"
"" "E2_adp[m]_pi[m]_complex" "E89_adp[m]_pi[m]_complex"
"" "E2_adp[m]_pi[m]_complex" "E90_adp[m]_pi[m]_complex"
"" "E2_adp[m]_pi[m]_complex" "E103_adp[m]_pi[m]_complex"
"" "E2_adp[m]_pi[m]_complex" "E104_adp[m]_pi[m]_complex"
"" "E89_adp[m]_pi[m]_complex" "E90_adp[m]_pi[m]_complex"
"" "E89_adp[m]_pi[m]_complex" "E103_adp[m]_pi[m]_complex"
"" "E89_adp[m]_pi[m]_complex" "E104_adp[m]_pi[m]_complex"
"" "E90_adp[m]_pi[m]_complex" "E103_adp[m]_pi[m]_complex"
"" "E90_adp[m]_pi[m]_complex" "E104_adp[m]_pi[m]_complex"
"" "E103_adp[m]_pi[m]_complex" "E104_adp[m]_pi[m]_complex"
"" "E45_pro__L[m]_complex" "E23_1pyr5c[m]_h2o[m]_complex"
"" "ru5p__D[c]" "xu5p__D[c]"
"" "E_110" "E_114"
"" "ru5p__D[c]" "r5p[c]"
"" "2pg[c]" "3pg[c]"
"" "E_13" "E_82"
"" "E_13" "E_83"
"" "E_82" "E_83"
