"V1" "V2"
"" "L-Cysteine" "L-Cystathionine"
"" "E132_ade[c]_complex" "E141_hxan[c]_complex"
"" "E149_asp__L[c]_gtp[c]_complex" "E154_h2o[c]_nad[c]_complex"
"" "Undecaprenyl diphosphate" "E90_fmn[c]_complex"
"" "Undecaprenyl diphosphate" "E62_ade[c]_h[c]_complex"
"" "Undecaprenyl diphosphate" "E262_asn__L[c]_complex"
"" "Undecaprenyl diphosphate" "E60_pap[c]_complex"
"" "Undecaprenyl diphosphate" "E64_atp[c]_pheme[e]_complex"
"" "Undecaprenyl diphosphate" "E200_ppi[c]_complex"
"" "Undecaprenyl diphosphate" "E205_atp[c]_pyr[c]_complex"
"" "Undecaprenyl diphosphate" "UDP-2(3-hydroxyoctadecanoyl)-3(3-hydroxypalmetoyl)glucosamine"
"" "E90_fmn[c]_complex" "E62_ade[c]_h[c]_complex"
"" "E90_fmn[c]_complex" "E262_asn__L[c]_complex"
"" "E90_fmn[c]_complex" "E60_pap[c]_complex"
"" "E90_fmn[c]_complex" "E64_atp[c]_pheme[e]_complex"
"" "E90_fmn[c]_complex" "E200_ppi[c]_complex"
"" "E90_fmn[c]_complex" "E205_atp[c]_pyr[c]_complex"
"" "UDP-2(3-hydroxyoctadecanoyl)-3(3-hydroxypalmetoyl)glucosamine" "E90_fmn[c]_complex"
"" "E293_23dhdp[c]_h[c]_complex" "E40_dhf[c]_h[c]_complex"
"" "E99_h2o[c]_complex" "E108_ac[c]_atp[c]_complex"
"" "E99_h2o[c]_complex" "E14_fmn[c]_h[c]_pyr[c]_complex"
"" "E108_ac[c]_atp[c]_complex" "E14_fmn[c]_h[c]_pyr[c]_complex"
"" "E295_atp[c]_dhpt[c]_complex" "E126_atp[c]_nh4[c]_complex"
"" "E22_gln__L[c]_complex" "E22_nh4[c]_complex"
"" "E22_gln__L[c]_complex" "E187_nh4[c]_complex"
"" "E22_nh4[c]_complex" "E187_nh4[c]_complex"
"" "E62_ade[c]_h[c]_complex" "E262_asn__L[c]_complex"
"" "E62_ade[c]_h[c]_complex" "E60_pap[c]_complex"
"" "E62_ade[c]_h[c]_complex" "E64_atp[c]_pheme[e]_complex"
"" "E62_ade[c]_h[c]_complex" "E200_ppi[c]_complex"
"" "E62_ade[c]_h[c]_complex" "E205_atp[c]_pyr[c]_complex"
"" "UDP-2(3-hydroxyoctadecanoyl)-3(3-hydroxypalmetoyl)glucosamine" "E62_ade[c]_h[c]_complex"
"" "E258_h[c]_complex" "E259_h2o[c]_complex"
"" "E86_atp[c]_citr__L[c]_complex" "E262_atp[c]_nh4[c]_complex"
"" "E86_atp[c]_citr__L[c]_complex" "E264_h[c]_complex"
"" "E86_atp[c]_citr__L[c]_complex" "E265_cbp[c]_complex"
"" "E86_atp[c]_citr__L[c]_complex" "E38_nad[c]_complex"
"" "x(46)" "E86_atp[c]_citr__L[c]_complex"
"" "E262_asn__L[c]_complex" "E60_pap[c]_complex"
"" "E262_asn__L[c]_complex" "E64_atp[c]_pheme[e]_complex"
"" "E262_asn__L[c]_complex" "E200_ppi[c]_complex"
"" "E262_asn__L[c]_complex" "E205_atp[c]_pyr[c]_complex"
"" "UDP-2(3-hydroxyoctadecanoyl)-3(3-hydroxypalmetoyl)glucosamine" "E262_asn__L[c]_complex"
"" "E262_atp[c]_nh4[c]_complex" "E264_h[c]_complex"
"" "E262_atp[c]_nh4[c]_complex" "E265_cbp[c]_complex"
"" "E262_atp[c]_nh4[c]_complex" "E38_nad[c]_complex"
"" "x(46)" "E262_atp[c]_nh4[c]_complex"
"" "E264_h[c]_complex" "E265_cbp[c]_complex"
"" "E264_h[c]_complex" "E38_nad[c]_complex"
"" "x(46)" "E264_h[c]_complex"
"" "E265_cbp[c]_complex" "E38_nad[c]_complex"
"" "x(46)" "E265_cbp[c]_complex"
"" "x(46)" "E38_nad[c]_complex"
"" "E60_pap[c]_complex" "E64_atp[c]_pheme[e]_complex"
"" "E60_pap[c]_complex" "E200_ppi[c]_complex"
"" "E60_pap[c]_complex" "E205_atp[c]_pyr[c]_complex"
"" "UDP-2(3-hydroxyoctadecanoyl)-3(3-hydroxypalmetoyl)glucosamine" "E60_pap[c]_complex"
"" "E26_amet[c]_complex" "E28_amet[c]_complex"
"" "Dihydroneopterin monophosphate" "2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"
