"V1" "V2"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E496_thr__L[c]_complex"
"" "E104_h2o[c]_complex" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E68_h2o[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E465_h2o[c]_nac[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E37_thr__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E494_thr__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E508_h[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E281_applp[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E60_h2o[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E516_skm[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E235_glu__D[c]_uama[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E495_s7p[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E497_thr__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E498_thr__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E280_h2o[c]_pyr[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E162_ala__D[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E164_glyc__R[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E293_fru[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E294_4ppan[c]_cys__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E209_dhpt[c]_glu__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E323_fpram[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E394_asp__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E337_h[c]_so4[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E338_dpcoa[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E120_glu__L[c]_trnaglu[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E173_thmmp[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E181_4c2me[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E355_cys__L[c]_glu__L[c]_complex"
"" "E92_cobalt2[c]_h2o[c]_hgbam[c]_complex" "E148_ru5p__D[c]_complex"
