"V1" "V2"
"" "2a3pp[c]" "E_500"
"" "dad_5[c]" "u23ga2[c]"
"" "E_115" "E_190"
"" "E_115" "E_422"
"" "caro[c]" "gcarote[c]"
"" "gcarote[c]" "lycop[c]"
"" "mg2[e]" "mg2[p]"
"" "prfp[c]" "prlp[c]"
"" "cit[c]" "icit[c]"
"" "man6p[c]" "man1p[c]"
"" "man6p[c]" "f6p[c]"
"" "E_166" "E_346"
"" "pphn[c]" "chor[c]"
"" "E_244" "E_405"
"" "tczcaro[c]" "dczcaro[c]"
"" "g6p[c]" "f6p[c]"
"" "E_111" "E_285"
"" "E_111" "E_166"
"" "chor[c]" "ichor[c]"
"" "g1p[c]" "g6p[c]"
"" "nh4[c]" "nh4[p]"
"" "E_79" "E_466"
"" "26dap__M[c]" "26dap_LL[c]"
"" "xu5p__D[c]" "ru5p__D[c]"
"" "E_190" "E_422"
"" "dmpp[c]" "ipdp[c]"
"" "gam6p[c]" "gam1p[c]"
"" "2pg[c]" "3pg[c]"
"" "E_85" "E_233"
"" "dhap[c]" "g3p[c]"
"" "glu__D[c]" "glu__L[c]"
"" "ca2[c]" "ca2[p]"
"" "ala__L[c]" "ala__D[c]"
"" "ru5p__D[c]" "r5p[c]"
"" "photon530[e]" "photon550[e]"
"" "photon530[e]" "photon570[e]"
"" "photon530[e]" "photon590[e]"
"" "photon530[e]" "photon610[e]"
"" "photon530[e]" "photon630[e]"
"" "photon530[e]" "photon670[e]"
"" "photon550[e]" "photon570[e]"
"" "photon550[e]" "photon590[e]"
"" "photon550[e]" "photon610[e]"
"" "photon550[e]" "photon630[e]"
"" "photon550[e]" "photon670[e]"
"" "photon570[e]" "photon590[e]"
"" "photon570[e]" "photon610[e]"
"" "photon570[e]" "photon630[e]"
"" "photon570[e]" "photon670[e]"
"" "photon590[e]" "photon610[e]"
"" "photon590[e]" "photon630[e]"
"" "photon590[e]" "photon670[e]"
"" "photon610[e]" "photon630[e]"
"" "photon610[e]" "photon670[e]"
"" "photon630[e]" "photon670[e]"
"" "lycop[c]" "ttclyco[c]"
"" "E_13" "E_441"
"" "E_13" "E_411"
"" "glcdg1619Z160[c]" "glcdg1819Z160[c]"
"" "glcdg1619Z160[c]" "mgdg1819Z160[c]"
"" "mgdg1619Z160[c]" "glcdg1619Z160[c]"
"" "E_411" "E_441"
"" "LalaDglu[c]" "LalaLglu[c]"
"" "h[c]" "h[p]"
"" "caro[c]" "lycop[c]"
"" "5caiz[c]" "5aizc[c]"
"" "glcdg1819Z160[c]" "mgdg1819Z160[c]"
"" "mgdg1619Z160[c]" "glcdg1819Z160[c]"
"" "mgdg1619Z160[c]" "mgdg1819Z160[c]"
"" "udpgal[c]" "udpg[c]"
"" "2cpr5p[c]" "pran[c]"
"" "glu1sa[c]" "5aop[c]"
"" "5mdr1p[c]" "5mdru1p[c]"
"" "mgdg161[c]" "glcdg161[c]"
"" "mgdg1819Z1619Z[c]" "glcdg1819Z1619Z[c]"
"" "ru5p__D[c]" "ara5p[c]"
"" "uacgam[c]" "uacmam[c]"
