"V1" "V2"
"" "E299_h[c]_pa183_6_9_12[c]_complex" "E299_h[c]_pa184_6_9_12_15[c]_complex"
"" "E299_h[c]_pa160[c]_complex" "E299_h[c]_pa183_6_9_12[c]_complex"
"" "E299_h[c]_pa161[c]_complex" "E299_h[c]_pa183_6_9_12[c]_complex"
"" "E299_h[c]_pa180[c]_complex" "E299_h[c]_pa183_6_9_12[c]_complex"
"" "E299_h[c]_pa181[c]_complex" "E299_h[c]_pa183_6_9_12[c]_complex"
"" "E299_h[c]_pa181_9[c]_complex" "E299_h[c]_pa183_6_9_12[c]_complex"
"" "E299_h[c]_pa182_9_12[c]_complex" "E299_h[c]_pa183_6_9_12[c]_complex"
"" "E299_h[c]_pa183_6_9_12[c]_complex" "E299_h[c]_pa183_9_12_15[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-6-9-12-trienoyl, n-C18 3)" "Phosphatidylglycerophosphate (dioctadec-6-9-12-15-tetraenoyl, n-C18 4)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "Phosphatidylglycerophosphate (dioctadec-6-9-12-trienoyl, n-C18 3)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "Phosphatidylglycerophosphate (dioctadec-6-9-12-trienoyl, n-C18 3)"
"" "Phosphatidylglycerophosphate (dioctadec-6-9-12-trienoyl, n-C18 3)" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)"
"" "H2O H2O" "x(175)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "Phosphatidylglycerophosphate (dioctadec-6-9-12-15-tetraenoyl, n-C18 4)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)" "Phosphatidylglycerophosphate (dioctadec-6-9-12-15-tetraenoyl, n-C18 4)"
"" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)" "Phosphatidylglycerophosphate (dioctadec-6-9-12-15-tetraenoyl, n-C18 4)"
"" "1,2-dioctadec-6-9-12-trienoyl-sn-glycerol 3-phosphate" "1,2-dioctadec-6-9-12-15-tetraenoyl-sn-glycerol 3-phosphate"
"" "E299_cdpdodec691215eg[c]_complex" "E192_h2o[c]_complex"
"" "E14_palmACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_palmACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E14_hdeACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_hdeACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E14_ocdcaACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_ocdcaACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E14_octeACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_octeACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E14_octe_9_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_octe_9_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E14_octe_9_12_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_octe_9_12_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E14_octe_6_9_12_15_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_octe_6_9_12_15_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E14_octe_9_12_15_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
"" "E141_octe_9_12_15_ACP[c]_complex" "E177_cdpdodec691215eg[c]_complex"
