"V1" "V2"
"" "E100_h2o[c]_nad[c]_complex" "E476_h2o[c]_nad[c]_complex"
"" "E100_h2o[c]_nad[c]_complex" "E478_h2o[c]_nad[c]_complex"
"" "E100_h2o[c]_nad[c]_complex" "E482_h2o[c]_nad[c]_complex"
"" "E100_h2o[c]_nad[c]_complex" "E486_h2o[c]_nad[c]_complex"
"" "E476_h2o[c]_nad[c]_complex" "E478_h2o[c]_nad[c]_complex"
"" "E476_h2o[c]_nad[c]_complex" "E482_h2o[c]_nad[c]_complex"
"" "E476_h2o[c]_nad[c]_complex" "E486_h2o[c]_nad[c]_complex"
"" "E478_h2o[c]_nad[c]_complex" "E482_h2o[c]_nad[c]_complex"
"" "E478_h2o[c]_nad[c]_complex" "E486_h2o[c]_nad[c]_complex"
"" "E482_h2o[c]_nad[c]_complex" "E486_h2o[c]_nad[c]_complex"
"" "E_130" "E204_o2[c]_complex"
"" "E429_cdpdhdec9eg[c]_complex" "E429_cdpdodec11eg[c]_complex"
"" "E199_ddcaACP[c]_complex" "E429_cdpdhdec9eg[c]_complex"
"" "E199_ddcaACP[c]_complex" "E429_cdpdodec11eg[c]_complex"
"" "E_463" "E468_ahcys[c]_dscl[c]_complex"
"" "E_45" "E476_h2o[c]_complex"
"" "E491_pran[c]_complex" "E244_4c2me[c]_complex"
"" "E141_acg5p[c]_complex" "E29_glc__D[c]_pi[c]_complex"
"" "E_155" "E_459"
"" "E_32" "E_242"
