"V1" "V2"
"" "E320_asp__L[c]_complex" "E415_glc__D[e]_h2o[e]_complex"
"" "E104_atp[c]_chol[e]_complex" "E458_atp[c]_complex"
"" "Undecaprenyl diphosphate" "E104_atp[c]_chol[e]_complex"
"" "Menaquinone 8" "Ubiquinone-8"
"" "x(806)" "E270_26dap__M[c]_complex"
"" "x(789)" "E63_gln__L[c]_complex"
"" "Undecaprenyl diphosphate" "E458_atp[c]_complex"
"" "E177_pyr[c]_complex" "E466_3php[c]_complex"
"" "1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide" "5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide"
"" "(R)-Methylmalonyl-CoA" "Succinyl-CoA"
