"V1" "V2"
"" "E28_h[e]_qh2[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E92_h[e]_qh2[c]_complex"
"" "E12_acald[c]_coa[c]_complex" "E28_h[e]_qh2[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E44_h[e]_qh2[c]_complex"
"" "E104_asp__L[c]_complex" "E28_h[e]_qh2[c]_complex"
"" "E217_mal__L[c]_complex" "E28_h[e]_qh2[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E264_atp[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E208_h2o[c]_imp[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E40_h[e]_qh2[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E98_h[e]_qh2[c]_complex"
"" "E28_h[e]_qh2[c]_complex" "E149_h[e]_qh2[c]_complex"
"" "E44_qh2[c]_complex" "E227_qh2[c]_complex"
"" "E44_qh2[c]_complex" "E149_qh2[c]_complex"
"" "E28_qh2[c]_complex" "E44_qh2[c]_complex"
"" "E44_qh2[c]_complex" "E232_qh2[c]_complex"
"" "E40_h[c]_complex" "E92_h[c]_complex"
"" "E92_h[c]_complex" "E149_h[c]_complex"
"" "E92_h[c]_complex" "E98_h[c]_complex"
"" "E218_2mecdp[c]_complex" "E92_h[c]_complex"
"" "E36_fdxr_42[c]_h[c]_complex" "E92_h[c]_complex"
"" "E44_h[c]_complex" "E92_h[c]_complex"
"" "E92_h[c]_complex" "E210_h2mb4p[c]_h[c]_complex"
"" "E28_h[c]_complex" "E92_h[c]_complex"
"" "E92_h[c]_complex" "E111_h[c]_complex"
"" "E92_h[c]_complex" "E232_h[c]_complex"
"" "E28_h[c]_nadh[c]_complex" "E98_h[c]_nadh[c]_complex"
"" "E98_h[c]_nadh[c]_complex" "E111_h[c]_nadh[c]_complex"
"" "E98_h[c]_nadh[c]_complex" "E232_h[c]_nadh[c]_complex"
"" "E40_h[c]_nadh[c]_complex" "E98_h[c]_nadh[c]_complex"
"" "E98_h[c]_nadh[c]_complex" "E149_h[c]_nadh[c]_complex"
"" "E44_h[c]_nadh[c]_complex" "E98_h[c]_nadh[c]_complex"
"" "E92_h[c]_nadh[c]_complex" "E98_h[c]_nadh[c]_complex"
"" "E111_h[e]_qh2[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E92_h[e]_qh2[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E12_acald[c]_coa[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E44_h[e]_qh2[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E104_asp__L[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E217_mal__L[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E111_h[e]_qh2[c]_complex" "E264_atp[c]_complex"
"" "E111_h[e]_qh2[c]_complex" "E208_h2o[c]_imp[c]_complex"
"" "E40_h[e]_qh2[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E98_h[e]_qh2[c]_complex" "E111_h[e]_qh2[c]_complex"
"" "E111_h[e]_qh2[c]_complex" "E149_h[e]_qh2[c]_complex"
"" "x(14)" "x(19))"
"" "x(13)" "x(19))"
"" "(x(39)" "x(19))"
"" "(x(419)" "x(19))"
"" "x(19))" "x(26))"
"" "E149_qh2[c]_complex" "E227_qh2[c]_complex"
"" "E28_qh2[c]_complex" "E227_qh2[c]_complex"
"" "E227_qh2[c]_complex" "E232_qh2[c]_complex"
"" "E92_h[e]_qh2[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E12_acald[c]_coa[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E44_h[e]_qh2[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E104_asp__L[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E217_mal__L[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E232_h[e]_qh2[c]_complex" "E264_atp[c]_complex"
"" "E232_h[e]_qh2[c]_complex" "E208_h2o[c]_imp[c]_complex"
"" "E40_h[e]_qh2[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E98_h[e]_qh2[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E149_h[e]_qh2[c]_complex" "E232_h[e]_qh2[c]_complex"
"" "E1_succoa[c]_complex" "E6_succoa[c]_complex"
"" "E1_fdxr_42[c]_succoa[c]_complex" "E6_fdxr_42[c]_succoa[c]_complex"
"" "E171_26dap__M[c]_complex" "E6_fdxr_42[c]_succoa[c]_complex"
"" "E24_atp[c]_g1p[c]_complex" "E6_fdxr_42[c]_succoa[c]_complex"
"" "E132_atp[c]_g1p[c]_complex" "E6_fdxr_42[c]_succoa[c]_complex"
"" "E220_2me4p[c]_ctp[c]_complex" "E6_fdxr_42[c]_succoa[c]_complex"
"" "E151_3c4mop[c]_complex" "E6_fdxr_42[c]_succoa[c]_complex"
"" "E205_2cpr5p[c]_complex" "E6_fdxr_42[c]_succoa[c]_complex"
"" "E6_fdxr_42[c]_succoa[c]_complex" "E59_2mahmp[c]_4mpetz[c]_complex"
"" "E6_fdxr_42[c]_succoa[c]_complex" "E133_4ppcys[c]_complex"
"" "E60_chor[c]_complex" "E4_chor[c]_complex"
"" "E60_chor[c]_complex" "E80_chor[c]_complex"
"" "E28_h[c]_nadh[c]_complex" "E111_h[c]_nadh[c]_complex"
"" "E28_h[c]_nadh[c]_complex" "E232_h[c]_nadh[c]_complex"
"" "E28_h[c]_nadh[c]_complex" "E40_h[c]_nadh[c]_complex"
"" "E28_h[c]_nadh[c]_complex" "E149_h[c]_nadh[c]_complex"
"" "E28_h[c]_nadh[c]_complex" "E44_h[c]_nadh[c]_complex"
"" "E28_h[c]_nadh[c]_complex" "E92_h[c]_nadh[c]_complex"
"" "E40_h[c]_complex" "E149_h[c]_complex"
"" "E40_h[c]_complex" "E98_h[c]_complex"
"" "E218_2mecdp[c]_complex" "E40_h[c]_complex"
"" "E36_fdxr_42[c]_h[c]_complex" "E40_h[c]_complex"
"" "E40_h[c]_complex" "E44_h[c]_complex"
"" "E40_h[c]_complex" "E210_h2mb4p[c]_h[c]_complex"
"" "E28_h[c]_complex" "E40_h[c]_complex"
"" "E40_h[c]_complex" "E111_h[c]_complex"
"" "E40_h[c]_complex" "E232_h[c]_complex"
"" "(x(39)" "x(418)"
"" "(x(39)" "(x(419)"
"" "(x(39)" "x(26))"
"" "H+" "Ubiquinol"
"" "(x(39)" "x(41))"
"" "E12_acald[c]_coa[c]_complex" "E92_h[e]_qh2[c]_complex"
"" "E44_h[e]_qh2[c]_complex" "E92_h[e]_qh2[c]_complex"
"" "E104_asp__L[c]_complex" "E92_h[e]_qh2[c]_complex"
"" "E217_mal__L[c]_complex" "E92_h[e]_qh2[c]_complex"
"" "E92_h[e]_qh2[c]_complex" "E264_atp[c]_complex"
"" "E92_h[e]_qh2[c]_complex" "E208_h2o[c]_imp[c]_complex"
"" "E40_h[e]_qh2[c]_complex" "E92_h[e]_qh2[c]_complex"
"" "E92_h[e]_qh2[c]_complex" "E98_h[e]_qh2[c]_complex"
"" "E92_h[e]_qh2[c]_complex" "E149_h[e]_qh2[c]_complex"
"" "x(13)" "x(14)"
"" "(x(39)" "x(14)"
"" "(x(419)" "x(14)"
"" "x(14)" "x(26))"
"" "E111_h[c]_nadh[c]_complex" "E232_h[c]_nadh[c]_complex"
"" "E40_h[c]_nadh[c]_complex" "E111_h[c]_nadh[c]_complex"
"" "E111_h[c]_nadh[c]_complex" "E149_h[c]_nadh[c]_complex"
"" "E44_h[c]_nadh[c]_complex" "E111_h[c]_nadh[c]_complex"
"" "E92_h[c]_nadh[c]_complex" "E111_h[c]_nadh[c]_complex"
"" "E98_h[c]_complex" "E149_h[c]_complex"
"" "E218_2mecdp[c]_complex" "E149_h[c]_complex"
"" "E36_fdxr_42[c]_h[c]_complex" "E149_h[c]_complex"
"" "E44_h[c]_complex" "E149_h[c]_complex"
"" "E149_h[c]_complex" "E210_h2mb4p[c]_h[c]_complex"
"" "E28_h[c]_complex" "E149_h[c]_complex"
"" "E111_h[c]_complex" "E149_h[c]_complex"
"" "E149_h[c]_complex" "E232_h[c]_complex"
"" "E28_qh2[c]_complex" "E149_qh2[c]_complex"
"" "E149_qh2[c]_complex" "E232_qh2[c]_complex"
"" "E40_h[c]_nadh[c]_complex" "E232_h[c]_nadh[c]_complex"
"" "E149_h[c]_nadh[c]_complex" "E232_h[c]_nadh[c]_complex"
"" "E44_h[c]_nadh[c]_complex" "E232_h[c]_nadh[c]_complex"
"" "E92_h[c]_nadh[c]_complex" "E232_h[c]_nadh[c]_complex"
"" "(x(419)" "x(418)"
"" "x(26))" "x(418)"
"" "x(41))" "x(418)"
"" "ATP C10H12N5O13P3" "Phosphate"
"" "E20_atp[c]_hco3[c]_complex" "E177_ACP[c]_complex"
"" "E20_atp[c]_hco3[c]_complex" "E85_gam1p[c]_complex"
"" "E20_atp[c]_hco3[c]_complex" "E39_3mob[c]_h2o[c]_complex"
"" "E20_atp[c]_hco3[c]_complex" "E212_3mob[c]_h2o[c]_complex"
"" "E12_acald[c]_coa[c]_complex" "E44_h[e]_qh2[c]_complex"
"" "E12_acald[c]_coa[c]_complex" "E104_asp__L[c]_complex"
"" "E12_acald[c]_coa[c]_complex" "E217_mal__L[c]_complex"
"" "E12_acald[c]_coa[c]_complex" "E264_atp[c]_complex"
