"V1" "V2"
"" "x(100)" "E330_2mbald[m]_h[m]_complex"
"" "x(100)" "E330_2mppal[m]_h[m]_complex"
"" "x(100)" "E330_3mbald[m]_h[m]_complex"
"" "x(100)" "E330_h[m]_id3acald[m]_complex"
"" "x(100)" "E330_acald[m]_h[m]_complex"
"" "x(100)" "E448_dhap[m]_h[m]_complex"
"" "Alpha-D-Galactose 1-phosphate" "UDPgalactose"
"" "E358_13BDglcn[c]_complex" "E368_ahcys[c]_complex"
"" "E358_13BDglcn[c]_complex" "E281_iamac[c]_complex"
"" "E358_13BDglcn[c]_complex" "E281_ibutac[c]_complex"
"" "E358_13BDglcn[c]_complex" "E281_aces[c]_complex"
"" "E358_13BDglcn[c]_complex" "E219_amp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E508_Lkynr[c]_complex"
"" "E358_13BDglcn[c]_complex" "E341_adn[c]_complex"
"" "E358_13BDglcn[c]_complex" "E151_amp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E609_amp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E618_amp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E677_arg__L[c]_complex"
"" "E358_13BDglcn[c]_complex" "E247_asn__L[c]_complex"
"" "E358_13BDglcn[c]_complex" "E227_atp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E43_atp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E157_atp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E223_cmp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E439_cyst__L[c]_complex"
"" "E358_13BDglcn[c]_complex" "E527_cyst__L[c]_complex"
"" "E358_13BDglcn[c]_complex" "E303_dutp[c]_complex"
"" "E358_13BDglcn[c]_complex" "E224_4aabutn[c]_complex"
"" "E358_13BDglcn[c]_complex" "E105_glyc3p[c]_complex"
"" "E358_13BDglcn[c]_complex" "E451_glyc3p[c]_complex"
"" "E358_13BDglcn[c]_complex" "E237_gln__L[c]_complex"
