"V1" "V2"
"" "dmpp[c]" "grdp[c]"
"" "E300_ac[c]_coa[c]_complex" "E292_ade[c]_h2o[c]_complex"
"" "E300_ac[c]_coa[c]_complex" "E148_asp__L[c]_complex"
"" "E300_ac[c]_coa[c]_complex" "E51_adp[c]_atp[m]_complex"
"" "E300_ac[c]_coa[c]_complex" "E299_adp[c]_atp[m]_complex"
"" "E300_ac[c]_coa[c]_complex" "E303_adp[c]_atp[m]_complex"
"" "E300_ac[c]_coa[c]_complex" "E208_nadph[c]_o2[c]_pmtcoa[c]_complex"
"" "E300_ac[c]_coa[c]_complex" "E208_nadph[c]_o2[c]_stcoa[c]_complex"
"" "E300_ac[c]_coa[c]_complex" "E355_glu__L[c]_complex"
"" "E300_ac[c]_coa[c]_complex" "E86_pyr[c]_complex"
"" "E300_ac[c]_coa[c]_complex" "E454_pyr[c]_complex"
"" "E300_ac[c]_coa[c]_complex" "E456_pyr[c]_complex"
"" "E_25" "E_377"
"" "E_361" "E228_ac[c]_coa[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E436_aps[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E479_prpp[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E180_asp__L[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E194_adp[c]_h[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E144_h2o[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E2_h2o[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E42_h2o[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E441_glu__L[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E73_nad[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E408_nad[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E414_nad[c]_complex"
"" "E228_ac[c]_coa[c]_complex" "E271_rib__D[c]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E148_asp__L[c]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E51_adp[c]_atp[m]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E299_adp[c]_atp[m]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E303_adp[c]_atp[m]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E208_nadph[c]_o2[c]_pmtcoa[c]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E208_nadph[c]_o2[c]_stcoa[c]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E355_glu__L[c]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E86_pyr[c]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E454_pyr[c]_complex"
"" "E292_ade[c]_h2o[c]_complex" "E456_pyr[c]_complex"
"" "E_361" "E436_aps[c]_complex"
"" "E_361" "E479_prpp[c]_complex"
"" "E_361" "E180_asp__L[c]_complex"
"" "E_361" "E194_adp[c]_h[c]_complex"
"" "E_361" "E144_h2o[c]_complex"
"" "E_361" "E2_h2o[c]_complex"
"" "E_361" "E42_h2o[c]_complex"
"" "E_361" "E441_glu__L[c]_complex"
"" "E_361" "E73_nad[c]_complex"
"" "E_361" "E408_nad[c]_complex"
"" "E_361" "E414_nad[c]_complex"
"" "E_361" "E271_rib__D[c]_complex"
"" "E72_ade[c]_complex" "E416_ade[c]_complex"
"" "E72_ade[c]_complex" "E186_hxan[c]_complex"
"" "E416_ade[c]_complex" "E186_hxan[c]_complex"
"" "E436_aps[c]_complex" "E479_prpp[c]_complex"
"" "E436_aps[c]_complex" "E180_asp__L[c]_complex"
"" "E436_aps[c]_complex" "E194_adp[c]_h[c]_complex"
"" "E436_aps[c]_complex" "E144_h2o[c]_complex"
"" "E436_aps[c]_complex" "E2_h2o[c]_complex"
"" "E436_aps[c]_complex" "E42_h2o[c]_complex"
"" "E436_aps[c]_complex" "E441_glu__L[c]_complex"
"" "E436_aps[c]_complex" "E73_nad[c]_complex"
"" "E436_aps[c]_complex" "E408_nad[c]_complex"
"" "E436_aps[c]_complex" "E414_nad[c]_complex"
"" "E436_aps[c]_complex" "E271_rib__D[c]_complex"
"" "E479_prpp[c]_complex" "E180_asp__L[c]_complex"
"" "E479_prpp[c]_complex" "E194_adp[c]_h[c]_complex"
"" "E479_prpp[c]_complex" "E144_h2o[c]_complex"
"" "E479_prpp[c]_complex" "E2_h2o[c]_complex"
"" "E479_prpp[c]_complex" "E42_h2o[c]_complex"
"" "E479_prpp[c]_complex" "E441_glu__L[c]_complex"
"" "E479_prpp[c]_complex" "E73_nad[c]_complex"
"" "E479_prpp[c]_complex" "E408_nad[c]_complex"
"" "E479_prpp[c]_complex" "E414_nad[c]_complex"
"" "E479_prpp[c]_complex" "E271_rib__D[c]_complex"
"" "E102_h2o[c]_complex" "E493_h2o[c]_complex"
"" "E102_h2o[c]_complex" "E506_h2o[c]_complex"
"" "E102_h2o[c]_complex" "E492_h2o[c]_h[c]_complex"
"" "E493_h2o[c]_complex" "E506_h2o[c]_complex"
"" "E493_h2o[c]_complex" "E492_h2o[c]_h[c]_complex"
"" "E506_h2o[c]_complex" "E492_h2o[c]_h[c]_complex"
"" "E112_chor[c]_complex" "E513_chor[c]_complex"
"" "E518_arg__L[c]_complex" "E137_imp[c]_complex"
"" "E518_arg__L[c]_complex" "E145_gtp[c]_complex"
"" "E518_arg__L[c]_complex" "E94_camp[c]_complex"
"" "E518_arg__L[c]_complex" "E473_camp[c]_complex"
"" "E518_arg__L[c]_complex" "E475_gln__L[c]_prpp[c]_complex"
"" "E518_arg__L[c]_complex" "E367_glu__L[c]_nad[c]_complex"
"" "E518_arg__L[c]_complex" "E152_gln__L[c]_complex"
"" "E_232" "E518_arg__L[c]_complex"
"" "E518_arg__L[c]_complex" "E45_imp[c]_nad[c]_complex"
"" "E518_arg__L[c]_complex" "E288_imp[c]_nad[c]_complex"
"" "E518_arg__L[c]_complex" "E289_imp[c]_nad[c]_complex"
"" "E518_arg__L[c]_complex" "E290_imp[c]_nad[c]_complex"
"" "E518_arg__L[c]_complex" "E294_imp[c]_nad[c]_complex"
"" "E518_arg__L[c]_complex" "E132_nadp[c]_complex"
"" "E518_arg__L[c]_complex" "E146_gdp[c]_complex"
"" "E518_arg__L[c]_complex" "E231_prbatp[c]_complex"
"" "E9_asn__L[e]_complex" "E160_asn__L[e]_complex"
"" "E9_asn__L[e]_complex" "E161_asn__L[e]_complex"
"" "E9_asn__L[e]_complex" "E162_asn__L[e]_complex"
"" "E160_asn__L[e]_complex" "E161_asn__L[e]_complex"
"" "E160_asn__L[e]_complex" "E162_asn__L[e]_complex"
"" "E161_asn__L[e]_complex" "E162_asn__L[e]_complex"
"" "E148_asp__L[c]_complex" "E51_adp[c]_atp[m]_complex"
"" "E148_asp__L[c]_complex" "E299_adp[c]_atp[m]_complex"
"" "E148_asp__L[c]_complex" "E303_adp[c]_atp[m]_complex"
"" "E148_asp__L[c]_complex" "E208_nadph[c]_o2[c]_pmtcoa[c]_complex"
"" "E148_asp__L[c]_complex" "E208_nadph[c]_o2[c]_stcoa[c]_complex"
"" "E148_asp__L[c]_complex" "E355_glu__L[c]_complex"
"" "E148_asp__L[c]_complex" "E86_pyr[c]_complex"
"" "E148_asp__L[c]_complex" "E454_pyr[c]_complex"
"" "E148_asp__L[c]_complex" "E456_pyr[c]_complex"
"" "E180_asp__L[c]_complex" "E194_adp[c]_h[c]_complex"
"" "E180_asp__L[c]_complex" "E144_h2o[c]_complex"
"" "E180_asp__L[c]_complex" "E2_h2o[c]_complex"
"" "E180_asp__L[c]_complex" "E42_h2o[c]_complex"
"" "E180_asp__L[c]_complex" "E441_glu__L[c]_complex"
"" "E180_asp__L[c]_complex" "E73_nad[c]_complex"
"" "E180_asp__L[c]_complex" "E408_nad[c]_complex"
"" "E180_asp__L[c]_complex" "E414_nad[c]_complex"
"" "E180_asp__L[c]_complex" "E271_rib__D[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E144_h2o[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E2_h2o[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E42_h2o[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E441_glu__L[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E73_nad[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E408_nad[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E414_nad[c]_complex"
"" "E194_adp[c]_h[c]_complex" "E271_rib__D[c]_complex"
"" "E144_h2o[c]_complex" "E2_h2o[c]_complex"
"" "E144_h2o[c]_complex" "E42_h2o[c]_complex"
"" "E144_h2o[c]_complex" "E441_glu__L[c]_complex"
"" "E144_h2o[c]_complex" "E73_nad[c]_complex"
"" "E144_h2o[c]_complex" "E408_nad[c]_complex"
"" "E144_h2o[c]_complex" "E414_nad[c]_complex"
"" "E144_h2o[c]_complex" "E271_rib__D[c]_complex"
"" "E_1" "E_21"
"" "E_1" "E_22"
"" "E_1" "E_83"
"" "E_1" "E_431"
"" "E_1" "E82_h2o[c]_complex"
"" "E_1" "E434_h2o[c]_complex"
"" "E_21" "E_22"
"" "E_21" "E_83"
"" "E_21" "E_431"
"" "E_21" "E82_h2o[c]_complex"
"" "E_21" "E434_h2o[c]_complex"
"" "E_22" "E_83"
"" "E_22" "E_431"
"" "E_22" "E82_h2o[c]_complex"
"" "E_22" "E434_h2o[c]_complex"
"" "E24_atp[c]_h[c]_nadph[c]_complex" "E24_atp[c]_h[c]_nadh[c]_complex"
"" "E50_accoa[c]_h2o[c]_complex" "E302_accoa[c]_h2o[c]_complex"
"" "E269_alac__S[m]_h[m]_complex" "E269_2ahbut[m]_h[m]_complex"
"" "E269_alac__S[m]_h[m]_complex" "E213_acg5p[m]_h[m]_complex"
"" "23dhmb[m]" "23dhmp[m]"
"" "E269_2ahbut[m]_h[m]_complex" "E213_acg5p[m]_h[m]_complex"
"" "E20_h2o[c]_complex" "E199_h2o[c]_complex"
"" "E354_mal__L[m]_complex" "E31_dhlam[m]_complex"
"" "E354_mal__L[m]_complex" "E96_coa[m]_pyr[m]_complex"
"" "E354_mal__L[m]_complex" "E214_acald[m]_h2o[m]_complex"
