"V1" "V2"
"" "E34_adp[c]_complex" "E189_atp[c]_complex"
"" "E34_gdp[c]_complex" "E189_atp[c]_complex"
"" "E34_cdp[c]_complex" "E189_atp[c]_complex"
"" "E35_atp[c]_complex" "E189_atp[c]_complex"
"" "E189_atp[c]_complex" "E35_gtp[c]_complex"
"" "E189_atp[c]_complex" "E189_gtp[c]_complex"
"" "E189_atp[c]_complex" "E35_ctp[c]_complex"
"" "E189_atp[c]_complex" "E189_ctp[c]_complex"
"" "E248_atp[c]_complex" "E254_h2o[c]_complex"
"" "Cytosine" "Phosphate"
"" "E312_acglu[c]_complex" "E107_asp__L[c]_citr__L[c]_complex"
"" "E312_acglu[c]_complex" "E186_12dgr_LLA[c]_complex"
"" "E312_acglu[c]_complex" "E33_dad_2[c]_complex"
"" "E312_acglu[c]_complex" "E185_dad_2[c]_complex"
"" "E312_acglu[c]_complex" "E237_5dpmev[c]_complex"
"" "E312_acglu[c]_complex" "E235_dpcoa[c]_complex"
"" "x(447))" "E312_acglu[c]_complex"
"" "E312_acglu[c]_complex" "E249_duri[c]_complex"
"" "E312_acglu[c]_complex" "E314_2ahhmp[c]_complex"
"" "E312_acglu[c]_complex" "E334_4mhetz[c]_complex"
"" "E312_acglu[c]_complex" "E7_4ahmmp[c]_complex"
"" "E312_acglu[c]_complex" "E92_4ahmmp[c]_complex"
"" "E312_acglu[c]_complex" "E7_4ampm[c]_complex"
"" "E312_acglu[c]_complex" "E92_4ampm[c]_complex"
"" "E312_acglu[c]_complex" "E244_5pmev[c]_complex"
"" "E312_acglu[c]_complex" "E284_dump[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E5_pyr[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E316_pyr[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E326_pyr[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E329_pyr[c]_complex"
"" "2 hydroxy 3 methyl butanoate" "E315_2obut[c]_pyr[c]_complex"
"" "2 hydroxy 3 methyl pentanoate" "E315_2obut[c]_pyr[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E66_alac__S[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E324_alac__S[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E82_3mop[c]_complex"
"" "E315_2obut[c]_pyr[c]_complex" "E6_adn[c]_h2o[c]_complex"
