"V1" "V2"
"" "(x(24)" "x(20))"
"" "(x(24)" "x(23)"
"" "x(20))" "x(23)"
"" "E203_rppdima[c]_complex" "E204_ppdima[c]_complex"
"" "Phosphatidylinositol mannoside (tuberculosis)" "Phosphatidylinositol mannoside tri-mannose (tuberculosis)"
"" "Phosphatidylinositol mannoside (tuberculosis)" "E286_Ac1PIM1[c]_complex"
"" "Phosphatidylinositol mannoside (tuberculosis)" "E211_decd_tb[c]_complex"
"" "Phosphatidylinositol mannoside (tuberculosis)" "(x(61)"
"" "Phosphatidylinositol mannoside (tuberculosis)" "x(66))"
"" "Cyclopropanated keto-meroacid ACP (1 cyclopropane ring)" "Cyclopropanated alpha meroacid ACP (1 cyclopropane ring)"
"" "Cyclopropanated methoxy-meroacid ACP (1 cyclopropane ring)" "Cyclopropanated alpha meroacid ACP (1 cyclopropane ring)"
"" "((x(625)" "x(622))"
"" "(x(631)&x(624)&x(627))" "x(622))"
"" "x(622))" "x(629)"
"" "LL-2,6-Diaminoheptanedioate" "Meso-2,6-Diaminoheptanedioate"
"" "x(591)" "E291_atp[c]_uamag[c]_complex"
"" "x(591)" "E291_atp[c]_ugmag[c]_complex"
"" "E49_atp[c]_h2o[c]_complex" "E56_atp[c]_h2o[c]_complex"
"" "x(182)" "E303_atp[c]_pyr[c]_complex"
"" "E3_succ[c]_complex" "E61_succ[c]_complex"
"" "E3_succ[c]_complex" "E105_succ[c]_complex"
"" "E3_succ[c]_complex" "E259_pro__L[c]_complex"
"" "E61_succ[c]_complex" "E105_succ[c]_complex"
"" "E61_succ[c]_complex" "E259_pro__L[c]_complex"
"" "E105_succ[c]_complex" "E259_pro__L[c]_complex"
"" "E235_adp[c]_h[c]_complex" "E459_e4p[c]_h2o[c]_complex"
"" "E115_h2o[c]_nadp[c]_complex" "E116_h2o[c]_nadp[c]_complex"
"" "E115_h2o[c]_nadp[c]_complex" "E508_h2o[c]_nadp[c]_complex"
"" "E115_h2o[c]_nadp[c]_complex" "E116_h2o[c]_nad[c]_complex"
"" "E116_h2o[c]_nadp[c]_complex" "E508_h2o[c]_nadp[c]_complex"
"" "E116_h2o[c]_nadp[c]_complex" "E116_h2o[c]_nad[c]_complex"
"" "E508_h2o[c]_nadp[c]_complex" "E116_h2o[c]_nad[c]_complex"
"" "E117_h[c]_complex" "E513_h[c]_complex"
"" "E117_h[c]_complex" "E516_h[c]_complex"
"" "E513_h[c]_complex" "E516_h[c]_complex"
"" "E243_ser__L[c]_complex" "E33_glyc3p[c]_complex"
