"V1" "V2"
"" "S-Adenosyl-L-methionine" "7,8-Diaminononanoate"
"" "x(566)" "E869_malcoa[c]_complex"
"" "x(14)" "E625_amet[c]_complex"
"" "x(566)" "E612_atp[c]_co2[c]_complex"
"" "L-Alanine" "8-Amino-7-oxononanoate"
"" "(x(495)" "x(14)"
"" "x(14)" "x(488))"
"" "x(14)" "E171_pydx5p[c]_complex"
"" "x(14)" "E574_pydx5p[c]_complex"
"" "E380_ala__L[c]_complex" "E663_meoh[c]_complex"
"" "E380_8aonn[c]_co2[c]_complex" "E667_co2[c]_opmeACP[c]_complex"
"" "E117_atp[c]_ttdca[c]_complex" "E380_8aonn[c]_co2[c]_complex"
"" "E117_atp[c]_ttdcea[c]_complex" "E380_8aonn[c]_co2[c]_complex"
"" "E117_atp[c]_hdca[c]_complex" "E380_8aonn[c]_co2[c]_complex"
"" "E117_atp[c]_hdcea[c]_complex" "E380_8aonn[c]_co2[c]_complex"
"" "E117_atp[c]_ocdcea[c]_complex" "E380_8aonn[c]_co2[c]_complex"
"" "E117_atp[c]_ocdca[c]_complex" "E380_8aonn[c]_co2[c]_complex"
"" "E117_atp[c]_ddca[c]_complex" "E380_8aonn[c]_co2[c]_complex"
"" "E380_8aonn[c]_complex" "E667_opmeACP[c]_complex"
"" "E380_8aonn[c]_complex" "E612_atp[c]_complex"
"" "E380_8aonn[c]_complex" "E445_ogmeACP[c]_complex"
"" "E380_8aonn[c]_complex" "E686_h2o[c]_pep[c]_complex"
"" "ATP C10H12N5O13P3" "Dethiobiotin"
"" "x(328)" "x(539)"
"" "x(539)" "E378_asp__L[c]_nh4[c]_complex"
"" "x(539)" "E284_h2o[c]_complex"
"" "x(539)" "E470_cobalt2[c]_h2o[c]_complex"
"" "x(539)" "E162_cys__L[c]_h2o[c]_complex"
"" "x(539)" "E470_cu2[c]_h2o[c]_complex"
"" "x(539)" "E696_gthrd[c]_spmd[c]_complex"
"" "x(539)" "E162_gthrd[c]_h2o[c]_complex"
"" "x(539)" "E589_gtp[c]_complex"
"" "x(539)" "E679_h2o[c]_met__L[c]_complex"
"" "x(539)" "E470_h2o[c]_ni2[c]_complex"
"" "x(539)" "E780_nad[c]_complex"
"" "x(539)" "E526_h2o[c]_pg161[c]_complex"
"" "x(539)" "E526_h2o[c]_pg181[c]_complex"
"" "x(539)" "E259_h2o[c]_complex"
"" "x(539)" "E836_h2o[c]_complex"
"" "x(539)" "E526_h2o[c]_pe160[c]_complex"
"" "x(539)" "E526_h2o[c]_pe161[c]_complex"
"" "x(539)" "E63_h2o[c]_pheme[c]_complex"
"" "x(539)" "E526_h2o[c]_pg160[c]_complex"
"" "x(539)" "E838_h2o[c]_complex"
"" "x(539)" "E504_ribflv[c]_complex"
"" "x(539)" "E254_gtp[c]_h2o[c]_so4[c]_complex"
"" "x(539)" "E470_h2o[c]_zn2[c]_complex"
"" "x(539)" "E384_h2o[c]_h[c]_complex"
"" "E612_dtbt[c]_h[c]_complex" "E181_glycogen[c]_complex"
"" "E612_dtbt[c]_h[c]_complex" "E622_glycogen[c]_complex"
"" "5-Methylthio-D-ribose" "E422_2amsa[c]_complex"
"" "E492_amet[c]_complex" "E422_2amsa[c]_complex"
"" "E381_asp__L[c]_complex" "E422_2amsa[c]_complex"
"" "E422_2amsa[c]_complex" "E105_fad[c]_nadph[c]_complex"
"" "E422_2amsa[c]_complex" "E104_nadph[c]_ribflv[c]_complex"
"" "E422_2amsa[c]_complex" "E106_nadph[c]_ribflv[c]_complex"
"" "E422_2amsa[c]_complex" "E861_lys__L[c]_complex"
"" "Enoylglutaryl-[acyl-carrier protein] methyl ester" "Enoylpimeloyl-[acyl-carrier protein] methyl ester"
"" "x(55)" "E411_h[c]_nadph[c]_complex"
"" "Glutaryl-[acyl-carrier protein] methyl ester" "Pimeloyl-[acyl-carrier protein] methyl ester"
"" "x(190)" "E663_h2o[c]_complex"
"" "E411_gmeACP[c]_complex" "E628_hpmeACP[c]_complex"
"" "E411_gmeACP[c]_complex" "E628_hgmeACP[c]_complex"
"" "E411_pmeACP[c]_complex" "E411_gmeACP[c]_complex"
"" "E411_gmeACP[c]_complex" "E278_h2o[c]_complex"
"" "[2Fe-1S] desulfurated iron-sulfur cluster" "IscS sulfur acceptor protein"
