"V1" "V2"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18 2)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18 3)"
"" "Phenylacetic acid" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E444_phpyr[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(460)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(504)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E368_3mob[c]_accoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(17)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E78_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E442_atp[c]_cu2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E94_atp[c]_complex"
"" "H2O H2O" "x(586)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(131)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(137)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E126_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E224_ahcys[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(468)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E499_hmppp9[c]_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E14_ahdt[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E71_3mob[c]_accoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(121)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E333_trdox[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E429_atp[c]_fe2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E452_amet[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E427_nadp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "(x(489)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(491))"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(812)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "(x(194)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(43)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E385_uppg3[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E350_imacp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E360_3mob[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E98_atp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E371_sucbz[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "x(521)"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E376_14dh2napcoa[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E93_atp[c]_cu2[p]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E177_agm[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E14_dhpmp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E199_udpsq[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E47_fdp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E276_fdp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E170_arg__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E17_4gudbutn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E178_4gudbutn[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E110_asn__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E131_asn__L[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E258_gthrd[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E42_cgly[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E156_6pgl[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E349_ctp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E49_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E273_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E274_2pglyc[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E56_gtp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E58_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E315_amp[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E7_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E415_atp[c]_cobalt2[c]_complex"
"" "Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18 1)" "E91_atp[c]_ca2[p]_complex"
