"V1" "V2"
"" "23dhmb[c]" "23dhmp[c]"
"" "E_13" "E_142"
"" "pgp181_9[c]" "pgp182_9_12[c]"
"" "pgp181_9[c]" "pgp183_9_12_15[c]"
"" "pac[c]" "pgp181_9[c]"
"" "pgp182_9_12[c]" "pgp183_9_12_15[c]"
"" "pac[c]" "pgp182_9_12[c]"
"" "pac[c]" "pgp183_9_12_15[c]"
"" "chor[c]" "pphn[c]"
"" "5mdr1p[c]" "5mdru1p[c]"
"" "2cpr5p[c]" "pran[c]"
"" "so4[p]" "so4[e]"
"" "pg181_9[c]" "pg182_9_12[c]"
"" "pg181_9[c]" "pg183_9_12_15[c]"
"" "pg182_9_12[c]" "pg183_9_12_15[c]"
"" "26dap_LL[c]" "26dap__M[c]"
"" "gcarote[c]" "lycop[c]"
"" "caro[c]" "lycop[c]"
"" "caro[c]" "gcarote[c]"
"" "5aop[c]" "glu1sa[c]"
"" "prfp[c]" "prlp[c]"
"" "gam1p[c]" "gam6p[c]"
"" "glu__D[c]" "glu__L[c]"
"" "ala__D[c]" "ala__L[c]"
"" "2m6phol[c]" "dtocophe[c]"
"" "23dmphol[c]" "gtocophe[c]"
"" "e11[c]" "e11[p]"
