"V1" "V2"
"" "x(466)" "E461_2kmb[c]_complex"
"" "1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate" "N-(5-Phospho-D-ribosyl)anthranilate"
"" "Glycerol" "Glycerol"
"" "x(378)" "E281_atp[c]_complex"
"" "E491_prpp[c]_complex" "E478_h2o[c]_nad[c]_complex"
"" "E118_h2o[c]_nad[c]_complex" "E478_h2o[c]_nad[c]_complex"
"" "E478_h2o[c]_nad[c]_complex" "E481_h2o[c]_nad[c]_complex"
"" "E478_h2o[c]_nad[c]_complex" "E482_h2o[c]_nad[c]_complex"
"" "E478_h2o[c]_nad[c]_complex" "E485_h2o[c]_nad[c]_complex"
"" "E3_for[c]_complex" "E402_dgtp[c]_complex"
"" "E59_for[c]_complex" "E402_dgtp[c]_complex"
"" "E60_for[c]_complex" "E402_dgtp[c]_complex"
"" "E1_actn__R[c]_coa[c]_complex" "E402_dgtp[c]_complex"
"" "E16_actn__R[c]_coa[c]_complex" "E402_dgtp[c]_complex"
"" "E34_akg[c]_coa[c]_complex" "E402_dgtp[c]_complex"
"" "E211_ala__L[c]_h2o[c]_complex" "E402_dgtp[c]_complex"
"" "E218_dhna[c]_hepdp[c]_complex" "E402_dgtp[c]_complex"
"" "E48_gcald[c]_h2o[c]_complex" "E402_dgtp[c]_complex"
"" "E244_gcald[c]_h2o[c]_complex" "E402_dgtp[c]_complex"
"" "E257_gcald[c]_h2o[c]_complex" "E402_dgtp[c]_complex"
"" "E174_g3p[c]_pi[c]_complex" "E402_dgtp[c]_complex"
"" "E38_glu__L[c]_h2o[c]_complex" "E402_dgtp[c]_complex"
"" "E234_glu__L[c]_h2o[c]_complex" "E402_dgtp[c]_complex"
"" "E298_3hmp[c]_complex" "E402_dgtp[c]_complex"
"" "E347_h2o[c]_imp[c]_complex" "E402_dgtp[c]_complex"
"" "E358_3c2hmp[c]_complex" "E402_dgtp[c]_complex"
"" "E377_coa[c]_mmalsa__S[c]_complex" "E402_dgtp[c]_complex"
"" "E377_2mop[c]_coa[c]_complex" "E402_dgtp[c]_complex"
"" "E402_atp[c]_complex" "E402_dgtp[c]_complex"
"" "E402_gtp[c]_complex" "E402_dgtp[c]_complex"
"" "E402_datp[c]_complex" "E402_dgtp[c]_complex"
"" "E402_dgtp[c]_complex" "E402_dctp[c]_complex"
"" "E402_dgtp[c]_complex" "E402_dttp[c]_complex"
"" "E402_dgtp[c]_complex" "E319_1pyr5c[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E103_3mob[c]_coa[c]_complex"
"" "E402_dgtp[c]_complex" "E103_3mop[c]_coa[c]_complex"
"" "E402_dgtp[c]_complex" "E117_h2o[c]_hxan[c]_complex"
"" "E402_dgtp[c]_complex" "E478_h2o[c]_hxan[c]_complex"
"" "E402_dgtp[c]_complex" "E480_h2o[c]_hxan[c]_complex"
"" "E402_dgtp[c]_complex" "E482_h2o[c]_hxan[c]_complex"
"" "E402_dgtp[c]_complex" "E487_h2o[c]_hxan[c]_complex"
"" "E402_dgtp[c]_complex" "E46_acald[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E253_acald[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E257_acald[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E51_glx[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E245_glx[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E253_glx[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E48_glyald[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E245_glyald[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E256_glyald[c]_h2o[c]_complex"
"" "E402_dgtp[c]_complex" "E288_3hmp[c]_complex"
"" "E230_grdp[c]_complex" "E230_dmpp[c]_complex"
"" "E128_frdp[c]_complex" "E230_grdp[c]_complex"
"" "E129_ggdp[c]_complex" "E230_grdp[c]_complex"
"" "x(567)" "E230_grdp[c]_complex"
"" "E230_grdp[c]_complex" "E66_hexdp[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E297_asp__L[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E483_alac__S[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E161_ade[c]_h2o[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E266_arg__L[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E247_25dhpp[c]_h2o[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E178_dcyt[c]_h2o[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E178_cytd[c]_h2o[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E201_26dap__M[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E204_dcmp[c]_h2o[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E204_cmp[c]_h2o[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E144_ctp[c]_glyc3p[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E260_glx[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E285_gua[c]_h2o[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E337_eig3p[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E339_2cpr5p[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E151_zn2[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E126_3c4mop[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E357_2me4p[c]_ctp[c]_complex"
"" "E143_akg[c]_ichor[c]_complex" "E455_12dag3p_BS[c]_ctp[c]_complex"
"" "E3_for[c]_complex" "E59_for[c]_complex"
"" "E3_for[c]_complex" "E60_for[c]_complex"
"" "E3_for[c]_complex" "E1_actn__R[c]_coa[c]_complex"
