"V1" "V2"
"" "FUM" "FBA_cit_c_complex"
"" "FBA" "FBA_fdp_c_complex"
"" "FBA_pep_c_complex" "FBP_pep_c_complex"
"" "adp_c" "amp_c"
"" "FBP_fdp_c_complex" "GLUN_gln_L_c_complex"
"" "GLUSy" "FBP_fdp_c_complex"
"" "FBP" "FBP_fdp_c_complex"
"" "GLUN" "FBP_fdp_c_complex"
"" "FBP_fdp_c_complex" "PRASCS_h_c_pi_c_25aics_c_complex"
"" "FBP_fdp_c_complex" "PRAIS_h_c_h_c_pi_c_air_c_complex"
"" "FBP_fdp_c_complex" "AIRC2_h_c_pi_c_5caiz_c_complex"
"" "GLUPRT" "FBP_fdp_c_complex"
"" "GLNS" "FBP_fdp_c_complex"
"" "FBP_fdp_c_complex" "GLUDy_amp_c_complex"
"" "FBP_fdp_c_complex" "GLUN_amp_c_complex"
"" "ACALD" "FBP_fdp_c_complex"
"" "ATPPRT" "FBP_fdp_c_complex"
"" "FRD2_atp_c_complex" "GLUDy_atp_c_complex"
"" "GLUN" "FRD2_atp_c_complex"
"" "GLUN_gln_L_c_complex" "FRD2_atp_c_complex"
"" "GLUSy" "FRD2_atp_c_complex"
"" "PRASCS" "FRD2_atp_c_complex"
"" "PRAIS" "FRD2_atp_c_complex"
"" "AIRC2" "FRD2_atp_c_complex"
"" "G6PDH2r" "GLUN"
"" "G6PDH2r" "GLUN_gln_L_c_complex"
"" "G6PDH2r" "HACD2i_3ohcoa3_c_complex"
"" "GLUN" "G6PDH2r_g6p_c_complex"
"" "G6PDH2r_g6p_c_complex" "GLUN_gln_L_c_complex"
"" "amp_c" "ser_L_c"
"" "amp_c" "phom_c"
"" "GLNS" "GLUDy_amp_c_complex"
"" "GLNS" "GLUN_amp_c_complex"
"" "amp_c" "gly_c"
"" "amp_c" "trp_L_c"
"" "ACALD" "GLNS"
"" "FBP" "GLNS"
"" "GLNS" "ATPPRT"
"" "GLNS" "GLUPRT"
"" "GLNS" "GLUSy"
"" "ser_L_c" "phom_c"
"" "ser_L_c" "gly_c"
"" "ser_L_c" "trp_L_c"
"" "gly_c" "phom_c"
"" "trp_L_c" "phom_c"
"" "GLUDy_amp_c_complex" "GLUN_amp_c_complex"
"" "ACALD" "GLUDy_amp_c_complex"
"" "FBP" "GLUDy_amp_c_complex"
"" "ATPPRT" "GLUDy_amp_c_complex"
"" "GLUPRT" "GLUDy_amp_c_complex"
"" "GLUSy" "GLUDy_amp_c_complex"
"" "GLUN" "GLUDy_atp_c_complex"
"" "GLUN_gln_L_c_complex" "GLUDy_atp_c_complex"
"" "GLUSy" "GLUDy_atp_c_complex"
"" "PRASCS" "GLUDy_atp_c_complex"
"" "PRAIS" "GLUDy_atp_c_complex"
"" "AIRC2" "GLUDy_atp_c_complex"
"" "adp_c" "nadp_c"
"" "adp_c" "nadphp_c"
"" "adp_c" "nad_c"
"" "adp_c" "pi_c"
"" "GLUSy" "GLUN_gln_L_c_complex"
"" "adp_c" "nadhd_c"
"" "FBP" "GLUN_gln_L_c_complex"
"" "GLUN" "GLUN_gln_L_c_complex"
"" "adp_c" "atp_c"
"" "GLUN_gln_L_c_complex" "PRASCS_h_c_pi_c_25aics_c_complex"
"" "GLUN_gln_L_c_complex" "PRAIS_h_c_h_c_pi_c_air_c_complex"
"" "GLUN_gln_L_c_complex" "AIRC2_h_c_pi_c_5caiz_c_complex"
"" "GLUPRT" "GLUN_gln_L_c_complex"
